 # Time,   Mach,     alfa,     beta,     Clp,     Cm_alfa,     Cm_p_alfa,     Cm_q,     Cn_beta,     Cn_r 
5.000e-04, 2.935e+00, 4.929e-06, 0.000e+00, -1.050e-02, -3.013e+00, 4.030e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.000e-03, 2.932e+00, 9.709e-06, 0.000e+00, -1.050e-02, -3.013e+00, 4.030e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.500e-03, 2.928e+00, 1.425e-05, 0.000e+00, -1.050e-02, -3.013e+00, 4.029e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.000e-03, 2.924e+00, 1.845e-05, 0.000e+00, -1.050e-02, -3.013e+00, 4.029e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.500e-03, 2.920e+00, 2.222e-05, 0.000e+00, -1.050e-02, -3.013e+00, 4.028e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.000e-03, 2.916e+00, 2.545e-05, 0.000e+00, -1.050e-02, -3.013e+00, 4.028e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.500e-03, 2.913e+00, 2.808e-05, 0.000e+00, -1.050e-02, -3.013e+00, 4.028e-01, -1.530e+01, 3.013e+00, -1.530e+01
4.000e-03, 2.910e+00, 2.929e-05, 0.000e+00, -1.050e-02, -3.013e+00, 4.027e-01, -1.530e+01, 3.013e+00, -1.530e+01
4.500e-03, 2.906e+00, 3.059e-05, 0.000e+00, -1.050e-02, -3.013e+00, 4.027e-01, -1.530e+01, 3.013e+00, -1.530e+01
5.000e-03, 2.903e+00, 3.117e-05, 0.000e+00, -1.050e-02, -3.013e+00, 4.027e-01, -1.530e+01, 3.013e+00, -1.530e+01
5.500e-03, 2.899e+00, 3.109e-05, 0.000e+00, -1.050e-02, -3.013e+00, 4.027e-01, -1.530e+01, 3.013e+00, -1.530e+01
6.000e-03, 2.896e+00, 3.035e-05, 0.000e+00, -1.050e-02, -3.013e+00, 4.026e-01, -1.530e+01, 3.013e+00, -1.530e+01
6.500e-03, 2.891e+00, 2.831e-05, 0.000e+00, -1.050e-02, -3.013e+00, 4.026e-01, -1.530e+01, 3.013e+00, -1.530e+01
7.000e-03, 2.888e+00, 2.648e-05, 0.000e+00, -1.050e-02, -3.013e+00, 4.026e-01, -1.530e+01, 3.013e+00, -1.530e+01
7.500e-03, 2.885e+00, 2.415e-05, 0.000e+00, -1.050e-02, -3.013e+00, 4.025e-01, -1.530e+01, 3.013e+00, -1.530e+01
8.000e-03, 2.881e+00, 2.137e-05, 0.000e+00, -1.050e-02, -3.013e+00, 4.025e-01, -1.530e+01, 3.013e+00, -1.530e+01
8.500e-03, 2.878e+00, 1.821e-05, 0.000e+00, -1.050e-02, -3.013e+00, 4.025e-01, -1.530e+01, 3.013e+00, -1.530e+01
9.000e-03, 2.875e+00, 1.474e-05, 0.000e+00, -1.050e-02, -3.013e+00, 4.025e-01, -1.530e+01, 3.013e+00, -1.530e+01
9.500e-03, 2.871e+00, 1.103e-05, 0.000e+00, -1.050e-02, -3.013e+00, 4.025e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.000e-02, 2.868e+00, 7.176e-06, 0.000e+00, -1.050e-02, -3.013e+00, 4.024e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.050e-02, 2.864e+00, 3.261e-06, 0.000e+00, -1.050e-02, -3.013e+00, 4.024e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.100e-02, 2.861e+00, -6.291e-07, 0.000e+00, -1.050e-02, -3.013e+00, 4.024e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.150e-02, 2.857e+00, -4.407e-06, 0.000e+00, -1.050e-02, -3.013e+00, 4.024e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.200e-02, 2.854e+00, -7.999e-06, 0.000e+00, -1.050e-02, -3.013e+00, 4.023e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.250e-02, 2.850e+00, -1.132e-05, 0.000e+00, -1.050e-02, -3.013e+00, 4.023e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.300e-02, 2.847e+00, -1.428e-05, 0.000e+00, -1.050e-02, -3.013e+00, 4.023e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.350e-02, 2.843e+00, -1.683e-05, 0.000e+00, -1.050e-02, -3.013e+00, 4.022e-01, -1.530e+01, 3.013e+00, -1.530e+01
