# Time,     alpha,      beta,     p,      q,      r,    MX,     MY,     MZ 
5.000e-04, 4.929e-06, 0.000e+00, 9.987e+02, 0.000e+00, 4.923e-03, -0.000e+00, -4.535e-04, 0.000e+00
1.000e-03, 9.709e-06, 0.000e+00, 9.975e+02, 0.000e+00, 9.685e-03, -0.000e+00, -8.866e-04, 0.000e+00
1.500e-03, 1.425e-05, 0.000e+00, 9.962e+02, 0.000e+00, 1.420e-02, -0.000e+00, -1.292e-03, 0.000e+00
2.000e-03, 1.845e-05, 0.000e+00, 9.950e+02, 0.000e+00, 1.836e-02, -0.000e+00, -1.659e-03, 0.000e+00
2.500e-03, 2.222e-05, 0.000e+00, 9.937e+02, 0.000e+00, 2.208e-02, -0.000e+00, -1.981e-03, 0.000e+00
3.000e-03, 2.545e-05, 0.000e+00, 9.924e+02, 0.000e+00, 2.526e-02, -0.000e+00, -2.250e-03, 0.000e+00
3.500e-03, 2.808e-05, 0.000e+00, 9.910e+02, 0.000e+00, 2.783e-02, -0.000e+00, -2.459e-03, 0.000e+00
4.000e-03, 2.929e-05, 0.000e+00, 9.902e+02, 0.000e+00, 2.900e-02, -0.000e+00, -2.549e-03, 0.000e+00
4.500e-03, 3.059e-05, 0.000e+00, 9.890e+02, 0.000e+00, 3.025e-02, -0.000e+00, -2.635e-03, 0.000e+00
5.000e-03, 3.117e-05, 0.000e+00, 9.878e+02, 0.000e+00, 3.079e-02, -0.000e+00, -2.656e-03, 0.000e+00
5.500e-03, 3.109e-05, 0.000e+00, 9.866e+02, 0.000e+00, 3.067e-02, -0.000e+00, -2.617e-03, 0.000e+00
6.000e-03, 3.035e-05, 0.000e+00, 9.853e+02, 0.000e+00, 2.990e-02, -0.000e+00, -2.520e-03, 0.000e+00
6.500e-03, 2.831e-05, 0.000e+00, 9.837e+02, 0.000e+00, 2.784e-02, -0.000e+00, -2.297e-03, 0.000e+00
7.000e-03, 2.648e-05, 0.000e+00, 9.826e+02, 0.000e+00, 2.602e-02, -0.000e+00, -2.110e-03, 0.000e+00
7.500e-03, 2.415e-05, 0.000e+00, 9.815e+02, 0.000e+00, 2.370e-02, -0.000e+00, -1.880e-03, 0.000e+00
8.000e-03, 2.137e-05, 0.000e+00, 9.804e+02, 0.000e+00, 2.095e-02, -0.000e+00, -1.613e-03, 0.000e+00
8.500e-03, 1.821e-05, 0.000e+00, 9.793e+02, 0.000e+00, 1.783e-02, -0.000e+00, -1.315e-03, 0.000e+00
9.000e-03, 1.474e-05, 0.000e+00, 9.781e+02, 0.000e+00, 1.441e-02, -0.000e+00, -9.931e-04, 0.000e+00
9.500e-03, 1.103e-05, 0.000e+00, 9.770e+02, 0.000e+00, 1.078e-02, -0.000e+00, -6.551e-04, 0.000e+00
1.000e-02, 7.176e-06, 0.000e+00, 9.758e+02, 0.000e+00, 7.003e-03, -0.000e+00, -3.087e-04, 0.000e+00
1.050e-02, 3.261e-06, 0.000e+00, 9.746e+02, 0.000e+00, 3.178e-03, -0.000e+00, 3.835e-05, 0.000e+00
1.100e-02, -6.291e-07, 0.000e+00, 9.735e+02, 0.000e+00, -6.124e-04, -0.000e+00, 3.783e-04, 0.000e+00
1.150e-02, -4.407e-06, 0.000e+00, 9.723e+02, 0.000e+00, -4.285e-03, -0.000e+00, 7.036e-04, 0.000e+00
1.200e-02, -7.999e-06, 0.000e+00, 9.711e+02, 0.000e+00, -7.768e-03, -0.000e+00, 1.008e-03, 0.000e+00
1.250e-02, -1.132e-05, 0.000e+00, 9.699e+02, 0.000e+00, -1.097e-02, -0.000e+00, 1.284e-03, 0.000e+00
1.300e-02, -1.428e-05, 0.000e+00, 9.686e+02, 0.000e+00, -1.383e-02, -0.000e+00, 1.525e-03, 0.000e+00
1.350e-02, -1.683e-05, 0.000e+00, 9.674e+02, 0.000e+00, -1.628e-02, -0.000e+00, 1.727e-03, 0.000e+00
1.400e-02, -1.806e-05, 0.000e+00, 9.667e+02, 0.000e+00, -1.746e-02, -0.000e+00, 1.821e-03, 0.000e+00
1.450e-02, -1.979e-05, 0.000e+00, 9.654e+02, 0.000e+00, -1.910e-02, -0.000e+00, 1.946e-03, 0.000e+00
1.500e-02, -2.083e-05, 0.000e+00, 9.642e+02, 0.000e+00, -2.009e-02, -0.000e+00, 2.013e-03, 0.000e+00
1.550e-02, -2.130e-05, 0.000e+00, 9.630e+02, 0.000e+00, -2.051e-02, -0.000e+00, 2.030e-03, 0.000e+00
1.600e-02, -2.124e-05, 0.000e+00, 9.619e+02, 0.000e+00, -2.043e-02, -0.000e+00, 2.002e-03, 0.000e+00
1.650e-02, -2.067e-05, 0.000e+00, 9.607e+02, 0.000e+00, -1.986e-02, -0.000e+00, 1.931e-03, 0.000e+00
1.700e-02, -1.973e-05, 0.000e+00, 9.597e+02, 0.000e+00, -1.894e-02, -0.000e+00, 1.831e-03, 0.000e+00
1.750e-02, -1.844e-05, 0.000e+00, 9.586e+02, 0.000e+00, -1.768e-02, -0.000e+00, 1.703e-03, 0.000e+00
