# Time,     alpha,     beta,     V_inf,    u(v_body_X), v(v_body_Y), w(v_body_Z),  p,       q,         r,         gx,         gy,       gz,      FX,         FY,         FZ       
5.000e-04, 8.446e-02, 0.000e+00, 9.983e+02, 9.947e+02, 0.000e+00, 8.422e+01, 0.000e+00, -4.960e+00, 0.000e+00, 1.538e-02, 0.000e+00, 9.810e+00, -2.508e+02, -0.000e+00, -2.159e+02
1.000e-03, 8.128e-02, 0.000e+00, 9.973e+02, 9.940e+02, 0.000e+00, 8.097e+01, 0.000e+00, -7.845e+00, 0.000e+00, 3.950e-02, 0.000e+00, 9.810e+00, -2.487e+02, -0.000e+00, -2.072e+02
1.500e-03, 7.436e-02, 0.000e+00, 9.957e+02, 9.930e+02, 0.000e+00, 7.398e+01, 0.000e+00, -1.196e+01, 0.000e+00, 9.699e-02, 0.000e+00, 9.810e+00, -2.449e+02, -0.000e+00, -1.887e+02
2.000e-03, 6.780e-02, 0.000e+00, 9.946e+02, 9.923e+02, 0.000e+00, 6.738e+01, 0.000e+00, -1.471e+01, 0.000e+00, 1.544e-01, 0.000e+00, 9.809e+00, -2.416e+02, -0.000e+00, -1.714e+02
2.500e-03, 5.735e-02, 0.000e+00, 9.932e+02, 9.915e+02, 0.000e+00, 5.693e+01, 0.000e+00, -1.790e+01, 0.000e+00, 2.486e-01, 0.000e+00, 9.807e+00, -2.371e+02, -0.000e+00, -1.443e+02
3.000e-03, 4.708e-02, 0.000e+00, 9.919e+02, 9.908e+02, 0.000e+00, 4.668e+01, 0.000e+00, -2.014e+01, 0.000e+00, 3.435e-01, 0.000e+00, 9.804e+00, -2.334e+02, -0.000e+00, -1.179e+02
3.500e-03, 3.834e-02, 0.000e+00, 9.910e+02, 9.903e+02, 0.000e+00, 3.798e+01, 0.000e+00, -2.155e+01, 0.000e+00, 4.254e-01, 0.000e+00, 9.801e+00, -2.308e+02, -0.000e+00, -9.575e+01
4.000e-03, 2.751e-02, 0.000e+00, 9.899e+02, 9.895e+02, 0.000e+00, 2.723e+01, 0.000e+00, -2.277e+01, 0.000e+00, 5.280e-01, 0.000e+00, 9.796e+00, -2.283e+02, -0.000e+00, -6.848e+01
4.500e-03, 1.521e-02, 0.000e+00, 9.887e+02, 9.886e+02, 0.000e+00, 1.503e+01, 0.000e+00, -2.355e+01, 0.000e+00, 6.461e-01, 0.000e+00, 9.789e+00, -2.262e+02, -0.000e+00, -3.774e+01
5.000e-03, 2.486e-03, 0.000e+00, 9.875e+02, 9.875e+02, 0.000e+00, 2.455e+00, 0.000e+00, -2.374e+01, 0.000e+00, 7.695e-01, 0.000e+00, 9.780e+00, -2.250e+02, -0.000e+00, -6.151e+00
