 # Time,   Mach,     alfa,     beta,     Clp,     Cm_alfa,     Cm_p_alfa,     Cm_q,     Cn_beta,     Cn_r 
5.000e-04, 2.934e+00, 8.446e-02, 0.000e+00, -1.050e-02, -3.013e+00, 4.234e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.000e-03, 2.931e+00, 8.128e-02, 0.000e+00, -1.050e-02, -3.013e+00, 4.175e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.500e-03, 2.926e+00, 7.436e-02, 0.000e+00, -1.050e-02, -3.013e+00, 4.054e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.000e-03, 2.923e+00, 6.780e-02, 0.000e+00, -1.050e-02, -3.013e+00, 3.947e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.500e-03, 2.919e+00, 5.735e-02, 0.000e+00, -1.050e-02, -3.013e+00, 3.802e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.000e-03, 2.915e+00, 4.708e-02, 0.000e+00, -1.050e-02, -3.013e+00, 3.699e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.500e-03, 2.912e+00, 3.834e-02, 0.000e+00, -1.050e-02, -3.013e+00, 3.651e-01, -1.530e+01, 3.013e+00, -1.530e+01
4.000e-03, 2.909e+00, 2.751e-02, 0.000e+00, -1.050e-02, -3.013e+00, 3.650e-01, -1.530e+01, 3.013e+00, -1.530e+01
4.500e-03, 2.906e+00, 1.521e-02, 0.000e+00, -1.050e-02, -3.013e+00, 3.745e-01, -1.530e+01, 3.013e+00, -1.530e+01
5.000e-03, 2.902e+00, 2.486e-03, 0.000e+00, -1.050e-02, -3.013e+00, 3.968e-01, -1.530e+01, 3.013e+00, -1.530e+01
5.500e-03, 2.898e+00, -1.217e-02, 0.000e+00, -1.050e-02, -3.013e+00, 3.790e-01, -1.530e+01, 3.013e+00, -1.530e+01
6.000e-03, 2.895e+00, -2.230e-02, 0.000e+00, -1.050e-02, -3.013e+00, 3.688e-01, -1.530e+01, 3.013e+00, -1.530e+01
6.500e-03, 2.892e+00, -3.130e-02, 0.000e+00, -1.050e-02, -3.013e+00, 3.660e-01, -1.530e+01, 3.013e+00, -1.530e+01
7.000e-03, 2.889e+00, -4.018e-02, 0.000e+00, -1.050e-02, -3.013e+00, 3.681e-01, -1.530e+01, 3.013e+00, -1.530e+01
7.500e-03, 2.885e+00, -5.033e-02, 0.000e+00, -1.050e-02, -3.013e+00, 3.756e-01, -1.530e+01, 3.013e+00, -1.530e+01
8.000e-03, 2.881e+00, -5.788e-02, 0.000e+00, -1.050e-02, -3.013e+00, 3.840e-01, -1.530e+01, 3.013e+00, -1.530e+01
8.500e-03, 2.878e+00, -6.355e-02, 0.000e+00, -1.050e-02, -3.013e+00, 3.915e-01, -1.530e+01, 3.013e+00, -1.530e+01
9.000e-03, 2.875e+00, -6.700e-02, 0.000e+00, -1.050e-02, -3.013e+00, 3.966e-01, -1.530e+01, 3.013e+00, -1.530e+01
9.500e-03, 2.872e+00, -6.981e-02, 0.000e+00, -1.050e-02, -3.013e+00, 4.009e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.000e-02, 2.868e+00, -7.126e-02, 0.000e+00, -1.050e-02, -3.013e+00, 4.033e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.050e-02, 2.864e+00, -7.086e-02, 0.000e+00, -1.050e-02, -3.013e+00, 4.029e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.100e-02, 2.860e+00, -6.914e-02, 0.000e+00, -1.050e-02, -3.013e+00, 4.006e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.150e-02, 2.857e+00, -6.595e-02, 0.000e+00, -1.050e-02, -3.013e+00, 3.963e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.200e-02, 2.854e+00, -6.157e-02, 0.000e+00, -1.050e-02, -3.013e+00, 3.907e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.250e-02, 2.850e+00, -5.519e-02, 0.000e+00, -1.050e-02, -3.013e+00, 3.836e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.300e-02, 2.846e+00, -4.686e-02, 0.000e+00, -1.050e-02, -3.013e+00, 3.764e-01, -1.530e+01, 3.013e+00, -1.530e+01
