# Time,     alpha,      beta,     p,      q,      r,    MX,     MY,     MZ 
5.000e-04, 8.446e-02, 0.000e+00, 9.947e+02, 0.000e+00, 8.422e+01, -0.000e+00, -7.699e+00, 0.000e+00
1.000e-03, 8.128e-02, 0.000e+00, 9.940e+02, 0.000e+00, 8.097e+01, -0.000e+00, -7.336e+00, 0.000e+00
1.500e-03, 7.436e-02, 0.000e+00, 9.930e+02, 0.000e+00, 7.398e+01, -0.000e+00, -6.603e+00, 0.000e+00
2.000e-03, 6.780e-02, 0.000e+00, 9.923e+02, 0.000e+00, 6.738e+01, -0.000e+00, -5.936e+00, 0.000e+00
2.500e-03, 5.735e-02, 0.000e+00, 9.915e+02, 0.000e+00, 5.693e+01, -0.000e+00, -4.905e+00, 0.000e+00
3.000e-03, 4.708e-02, 0.000e+00, 9.908e+02, 0.000e+00, 4.668e+01, -0.000e+00, -3.916e+00, 0.000e+00
3.500e-03, 3.834e-02, 0.000e+00, 9.903e+02, 0.000e+00, 3.798e+01, -0.000e+00, -3.086e+00, 0.000e+00
4.000e-03, 2.751e-02, 0.000e+00, 9.895e+02, 0.000e+00, 2.723e+01, -0.000e+00, -2.074e+00, 0.000e+00
4.500e-03, 1.521e-02, 0.000e+00, 9.886e+02, 0.000e+00, 1.503e+01, -0.000e+00, -9.393e-01, 0.000e+00
5.000e-03, 2.486e-03, 0.000e+00, 9.875e+02, 0.000e+00, 2.455e+00, -0.000e+00, 2.167e-01, 0.000e+00
5.500e-03, -1.217e-02, 0.000e+00, 9.860e+02, 0.000e+00, -1.200e+01, -0.000e+00, 1.527e+00, 0.000e+00
6.000e-03, -2.230e-02, 0.000e+00, 9.848e+02, 0.000e+00, -2.197e+01, -0.000e+00, 2.419e+00, 0.000e+00
6.500e-03, -3.130e-02, 0.000e+00, 9.836e+02, 0.000e+00, -3.080e+01, -0.000e+00, 3.200e+00, 0.000e+00
7.000e-03, -4.018e-02, 0.000e+00, 9.823e+02, 0.000e+00, -3.949e+01, -0.000e+00, 3.958e+00, 0.000e+00
7.500e-03, -5.033e-02, 0.000e+00, 9.804e+02, 0.000e+00, -4.939e+01, -0.000e+00, 4.805e+00, 0.000e+00
8.000e-03, -5.788e-02, 0.000e+00, 9.788e+02, 0.000e+00, -5.672e+01, -0.000e+00, 5.415e+00, 0.000e+00
8.500e-03, -6.355e-02, 0.000e+00, 9.773e+02, 0.000e+00, -6.219e+01, -0.000e+00, 5.853e+00, 0.000e+00
9.000e-03, -6.700e-02, 0.000e+00, 9.761e+02, 0.000e+00, -6.550e+01, -0.000e+00, 6.103e+00, 0.000e+00
9.500e-03, -6.981e-02, 0.000e+00, 9.747e+02, 0.000e+00, -6.816e+01, -0.000e+00, 6.284e+00, 0.000e+00
1.000e-02, -7.126e-02, 0.000e+00, 9.734e+02, 0.000e+00, -6.948e+01, -0.000e+00, 6.335e+00, 0.000e+00
1.050e-02, -7.086e-02, 0.000e+00, 9.720e+02, 0.000e+00, -6.899e+01, -0.000e+00, 6.213e+00, 0.000e+00
1.100e-02, -6.914e-02, 0.000e+00, 9.710e+02, 0.000e+00, -6.724e+01, -0.000e+00, 5.999e+00, 0.000e+00
1.150e-02, -6.595e-02, 0.000e+00, 9.700e+02, 0.000e+00, -6.406e+01, -0.000e+00, 5.654e+00, 0.000e+00
1.200e-02, -6.157e-02, 0.000e+00, 9.692e+02, 0.000e+00, -5.975e+01, -0.000e+00, 5.212e+00, 0.000e+00
1.250e-02, -5.519e-02, 0.000e+00, 9.683e+02, 0.000e+00, -5.349e+01, -0.000e+00, 4.594e+00, 0.000e+00
1.300e-02, -4.686e-02, 0.000e+00, 9.673e+02, 0.000e+00, -4.536e+01, -0.000e+00, 3.813e+00, 0.000e+00
1.350e-02, -3.870e-02, 0.000e+00, 9.665e+02, 0.000e+00, -3.742e+01, -0.000e+00, 3.065e+00, 0.000e+00
1.400e-02, -3.181e-02, 0.000e+00, 9.659e+02, 0.000e+00, -3.073e+01, -0.000e+00, 2.443e+00, 0.000e+00
1.450e-02, -2.323e-02, 0.000e+00, 9.651e+02, 0.000e+00, -2.242e+01, -0.000e+00, 1.678e+00, 0.000e+00
1.500e-02, -1.336e-02, 0.000e+00, 9.641e+02, 0.000e+00, -1.288e+01, -0.000e+00, 8.126e-01, 0.000e+00
1.550e-02, -3.072e-03, 0.000e+00, 9.630e+02, 0.000e+00, -2.958e+00, -0.000e+00, -7.803e-02, 0.000e+00
1.600e-02, 4.839e-03, 0.000e+00, 9.621e+02, 0.000e+00, 4.656e+00, -0.000e+00, -7.538e-01, 0.000e+00
1.650e-02, 1.582e-02, 0.000e+00, 9.607e+02, 0.000e+00, 1.520e+01, -0.000e+00, -1.678e+00, 0.000e+00
