 # Time,     Mach,      alfa,      beta,      Cd,      Cd0,     Cdd2,     CL_alfa,     Cn_p_alfa,     Cn_q_alfa 
5.000e-04, 2.939e+00, 0.000e+00, 0.000e+00, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
5.000e-04, 2.939e+00, 4.374e-09, 0.000e+00, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
5.000e-04, 2.939e+00, 4.374e-09, 4.100e-13, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
5.000e-04, 2.939e+00, 8.748e-09, 8.200e-13, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
5.000e-04, 2.939e+00, 8.747e-09, 1.230e-12, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
5.000e-04, 2.938e+00, 1.501e-06, 2.424e-08, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
5.000e-04, 2.938e+00, 1.500e-06, 2.417e-08, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
5.000e-04, 2.937e+00, 2.985e-06, 9.610e-08, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
5.000e-04, 2.937e+00, 2.983e-06, 9.593e-08, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
5.000e-04, 2.936e+00, 4.455e-06, 2.151e-07, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
5.000e-04, 2.936e+00, 4.453e-06, 2.149e-07, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
5.000e-04, 2.933e+00, 8.423e-06, 7.873e-07, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
5.000e-04, 2.933e+00, 8.417e-06, 7.858e-07, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.000e-03, 2.935e+00, 4.836e-06, 2.540e-07, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.000e-03, 2.935e+00, 4.844e-06, 2.548e-07, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.000e-03, 2.935e+00, 4.844e-06, 2.548e-07, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.000e-03, 2.935e+00, 4.852e-06, 2.556e-07, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.000e-03, 2.935e+00, 4.852e-06, 2.556e-07, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.000e-03, 2.934e+00, 6.327e-06, 4.380e-07, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.000e-03, 2.934e+00, 6.326e-06, 4.378e-07, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.000e-03, 2.933e+00, 7.778e-06, 6.681e-07, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.000e-03, 2.933e+00, 7.776e-06, 6.677e-07, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
