# Time,     alpha,     beta,     V_inf,    u(v_body_X), v(v_body_Y), w(v_body_Z),  p,       q,         r,         gx,         gy,       gz,      FX,         FY,         FZ       
5.000e-04, 8.417e-06, 7.858e-07, 9.978e+02, 9.978e+02, 7.841e-04, 8.398e-03, 1.047e+02, -3.452e-04, 7.261e-06, -8.550e-01, 9.022e-01, 9.731e+00, -2.450e+02, -1.889e-03, -2.043e-02
1.000e-03, 1.295e-05, 1.947e-06, 9.966e+02, 9.966e+02, 1.940e-03, 1.291e-02, 1.047e+02, -8.505e-04, 2.853e-05, -8.550e-01, 1.428e+00, 9.668e+00, -2.444e+02, -4.685e-03, -3.136e-02
1.500e-03, 1.682e-05, 3.485e-06, 9.954e+02, 9.954e+02, 3.468e-03, 1.674e-02, 1.047e+02, -1.513e-03, 6.913e-05, -8.550e-01, 1.921e+00, 9.582e+00, -2.438e+02, -8.379e-03, -4.063e-02
2.000e-03, 1.764e-05, 3.897e-06, 9.951e+02, 9.951e+02, 3.878e-03, 1.755e-02, 1.047e+02, -1.689e-03, 8.215e-05, -8.550e-01, 2.035e+00, 9.558e+00, -2.437e+02, -9.367e-03, -4.259e-02
2.500e-03, 2.106e-05, 6.070e-06, 9.938e+02, 9.938e+02, 6.032e-03, 2.093e-02, 1.047e+02, -2.610e-03, 1.627e-04, -8.550e-01, 2.560e+00, 9.431e+00, -2.430e+02, -1.457e-02, -5.071e-02
3.000e-03, 2.376e-05, 8.671e-06, 9.925e+02, 9.925e+02, 8.606e-03, 2.359e-02, 1.047e+02, -3.693e-03, 2.848e-04, -8.550e-01, 3.089e+00, 9.272e+00, -2.424e+02, -2.077e-02, -5.708e-02
3.500e-03, 2.560e-05, 1.159e-05, 9.912e+02, 9.912e+02, 1.149e-02, 2.537e-02, 1.047e+02, -4.884e-03, 4.541e-04, -8.549e-01, 3.611e+00, 9.081e+00, -2.417e+02, -2.771e-02, -6.132e-02
4.000e-03, 2.643e-05, 1.441e-05, 9.900e+02, 9.900e+02, 1.427e-02, 2.616e-02, 1.047e+02, -6.006e-03, 6.503e-04, -8.549e-01, 4.070e+00, 8.885e+00, -2.412e+02, -3.438e-02, -6.316e-02
4.500e-03, 2.645e-05, 1.738e-05, 9.888e+02, 9.888e+02, 1.719e-02, 2.616e-02, 1.047e+02, -7.152e-03, 8.938e-04, -8.549e-01, 4.524e+00, 8.662e+00, -2.406e+02, -4.137e-02, -6.308e-02
5.000e-03, 2.564e-05, 2.042e-05, 9.876e+02, 9.876e+02, 2.017e-02, 2.532e-02, 1.047e+02, -8.286e-03, 1.188e-03, -8.548e-01, 4.970e+00, 8.414e+00, -2.400e+02, -4.849e-02, -6.100e-02
5.500e-03, 2.399e-05, 2.345e-05, 9.864e+02, 9.864e+02, 2.314e-02, 2.366e-02, 1.047e+02, -9.368e-03, 1.534e-03, -8.548e-01, 5.406e+00, 8.141e+00, -2.394e+02, -5.558e-02, -5.695e-02
6.000e-03, 2.152e-05, 2.641e-05, 9.852e+02, 9.852e+02, 2.602e-02, 2.120e-02, 1.047e+02, -1.036e-02, 1.934e-03, -8.548e-01, 5.831e+00, 7.842e+00, -2.388e+02, -6.243e-02, -5.096e-02
6.500e-03, 1.827e-05, 2.920e-05, 9.840e+02, 9.840e+02, 2.873e-02, 1.798e-02, 1.047e+02, -1.123e-02, 2.386e-03, -8.547e-01, 6.242e+00, 7.519e+00, -2.382e+02, -6.888e-02, -4.318e-02
7.000e-03, 1.479e-05, 3.149e-05, 9.829e+02, 9.829e+02, 3.095e-02, 1.454e-02, 1.047e+02, -1.188e-02, 2.832e-03, -8.547e-01, 6.595e+00, 7.212e+00, -2.377e+02, -7.412e-02, -3.490e-02
7.500e-03, 1.071e-05, 3.359e-05, 9.818e+02, 9.818e+02, 3.298e-02, 1.052e-02, 1.047e+02, -1.238e-02, 3.330e-03, -8.546e-01, 6.943e+00, 6.878e+00, -2.372e+02, -7.889e-02, -2.524e-02
8.000e-03, 6.124e-06, 3.541e-05, 9.806e+02, 9.806e+02, 3.473e-02, 6.006e-03, 1.047e+02, -1.273e-02, 3.874e-03, -8.546e-01, 7.280e+00, 6.519e+00, -2.366e+02, -8.299e-02, -1.443e-02
8.500e-03, 1.139e-06, 3.689e-05, 9.795e+02, 9.795e+02, 3.613e-02, 1.116e-03, 1.047e+02, -1.287e-02, 4.460e-03, -8.545e-01, 7.604e+00, 6.139e+00, -2.361e+02, -8.627e-02, -2.742e-03
9.000e-03, -4.127e-06, 3.798e-05, 9.783e+02, 9.783e+02, 3.715e-02, -4.037e-03, 1.047e+02, -1.281e-02, 5.082e-03, -8.545e-01, 7.910e+00, 5.739e+00, -2.355e+02, -8.860e-02, 9.546e-03
9.500e-03, -9.564e-06, 3.862e-05, 9.771e+02, 9.771e+02, 3.774e-02, -9.346e-03, 1.047e+02, -1.254e-02, 5.736e-03, -8.544e-01, 8.199e+00, 5.318e+00, -2.349e+02, -8.990e-02, 2.218e-02
1.000e-02, -1.504e-05, 3.879e-05, 9.760e+02, 9.760e+02, 3.786e-02, -1.468e-02, 1.047e+02, -1.203e-02, 6.415e-03, -8.543e-01, 8.468e+00, 4.879e+00, -2.344e+02, -9.010e-02, 3.483e-02
1.050e-02, -2.041e-05, 3.847e-05, 9.748e+02, 9.748e+02, 3.750e-02, -1.990e-02, 1.047e+02, -1.131e-02, 7.112e-03, -8.543e-01, 8.715e+00, 4.422e+00, -2.338e+02, -8.914e-02, 4.719e-02
1.100e-02, -2.556e-05, 3.764e-05, 9.736e+02, 9.736e+02, 3.664e-02, -2.489e-02, 1.047e+02, -1.037e-02, 7.820e-03, -8.542e-01, 8.939e+00, 3.949e+00, -2.332e+02, -8.701e-02, 5.897e-02
1.150e-02, -3.036e-05, 3.629e-05, 9.724e+02, 9.724e+02, 3.529e-02, -2.953e-02, 1.047e+02, -9.228e-03, 8.533e-03, -8.542e-01, 9.140e+00, 3.459e+00, -2.326e+02, -8.370e-02, 6.990e-02
1.200e-02, -3.471e-05, 3.443e-05, 9.711e+02, 9.711e+02, 3.343e-02, -3.371e-02, 1.047e+02, -7.895e-03, 9.244e-03, -8.541e-01, 9.316e+00, 2.952e+00, -2.321e+02, -7.921e-02, 7.971e-02
1.250e-02, -3.849e-05, 3.204e-05, 9.699e+02, 9.699e+02, 3.108e-02, -3.733e-02, 1.047e+02, -6.386e-03, 9.948e-03, -8.540e-01, 9.466e+00, 2.428e+00, -2.315e+02, -7.355e-02, 8.818e-02
1.300e-02, -4.160e-05, 2.913e-05, 9.686e+02, 9.686e+02, 2.822e-02, -4.030e-02, 1.047e+02, -4.713e-03, 1.064e-02, -8.540e-01, 9.590e+00, 1.881e+00, -2.309e+02, -6.671e-02, 9.508e-02
1.350e-02, -4.396e-05, 2.565e-05, 9.673e+02, 9.673e+02, 2.481e-02, -4.252e-02, 1.047e+02, -2.872e-03, 1.132e-02, -8.539e-01, 9.685e+00, 1.303e+00, -2.302e+02, -5.858e-02, 1.002e-01
1.400e-02, -4.519e-05, 2.240e-05, 9.662e+02, 9.662e+02, 2.164e-02, -4.366e-02, 1.047e+02, -1.280e-03, 1.185e-02, -8.539e-01, 9.739e+00, 8.123e-01, -2.297e+02, -5.107e-02, 1.028e-01
1.450e-02, -4.572e-05, 1.891e-05, 9.651e+02, 9.651e+02, 1.825e-02, -4.412e-02, 1.047e+02, 3.230e-04, 1.234e-02, -8.538e-01, 9.768e+00, 3.175e-01, -2.292e+02, -4.303e-02, 1.038e-01
1.500e-02, -4.554e-05, 1.519e-05, 9.640e+02, 9.640e+02, 1.465e-02, -4.390e-02, 1.047e+02, 1.922e-03, 1.278e-02, -8.537e-01, 9.771e+00, -1.844e-01, -2.286e+02, -3.451e-02, 1.031e-01
1.550e-02, -4.463e-05, 1.130e-05, 9.628e+02, 9.628e+02, 1.088e-02, -4.298e-02, 1.047e+02, 3.485e-03, 1.318e-02, -8.537e-01, 9.748e+00, -6.909e-01, -2.281e+02, -2.562e-02, 1.008e-01
1.600e-02, -4.303e-05, 7.282e-06, 9.617e+02, 9.617e+02, 7.004e-03, -4.138e-02, 1.047e+02, 4.981e-03, 1.351e-02, -8.536e-01, 9.699e+00, -1.200e+00, -2.276e+02, -1.651e-02, 9.698e-02
1.650e-02, -4.076e-05, 3.209e-06, 9.606e+02, 9.606e+02, 3.083e-03, -3.915e-02, 1.047e+02, 6.376e-03, 1.377e-02, -8.535e-01, 9.622e+00, -1.709e+00, -2.270e+02, -7.302e-03, 9.166e-02
1.700e-02, -3.819e-05, -4.700e-07, 9.595e+02, 9.595e+02, -4.509e-04, -3.665e-02, 1.047e+02, 7.527e-03, 1.396e-02, -8.535e-01, 9.529e+00, -2.167e+00, -2.265e+02, 9.755e-04, 8.570e-02
1.750e-02, -3.509e-05, -4.207e-06, 9.585e+02, 9.585e+02, -4.032e-03, -3.364e-02, 1.047e+02, 8.585e-03, 1.408e-02, -8.534e-01, 9.411e+00, -2.634e+00, -2.260e+02, 9.347e-03, 7.858e-02
