 # Time,   Mach,     alfa,     beta,     Clp,     Cm_alfa,     Cm_p_alfa,     Cm_q,     Cn_beta,     Cn_r 
5.000e-04, 2.933e+00, 8.417e-06, 7.858e-07, -1.050e-02, -3.013e+00, 4.030e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.000e-03, 2.929e+00, 1.295e-05, 1.947e-06, -1.050e-02, -3.013e+00, 4.029e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.500e-03, 2.925e+00, 1.682e-05, 3.485e-06, -1.050e-02, -3.013e+00, 4.029e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.000e-03, 2.924e+00, 1.764e-05, 3.897e-06, -1.050e-02, -3.013e+00, 4.029e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.500e-03, 2.921e+00, 2.106e-05, 6.070e-06, -1.050e-02, -3.013e+00, 4.028e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.000e-03, 2.917e+00, 2.376e-05, 8.671e-06, -1.050e-02, -3.013e+00, 4.028e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.500e-03, 2.913e+00, 2.560e-05, 1.159e-05, -1.050e-02, -3.013e+00, 4.028e-01, -1.530e+01, 3.013e+00, -1.530e+01
4.000e-03, 2.910e+00, 2.643e-05, 1.441e-05, -1.050e-02, -3.013e+00, 4.027e-01, -1.530e+01, 3.013e+00, -1.530e+01
4.500e-03, 2.906e+00, 2.645e-05, 1.738e-05, -1.050e-02, -3.013e+00, 4.027e-01, -1.530e+01, 3.013e+00, -1.530e+01
5.000e-03, 2.903e+00, 2.564e-05, 2.042e-05, -1.050e-02, -3.013e+00, 4.027e-01, -1.530e+01, 3.013e+00, -1.530e+01
5.500e-03, 2.899e+00, 2.399e-05, 2.345e-05, -1.050e-02, -3.013e+00, 4.026e-01, -1.530e+01, 3.013e+00, -1.530e+01
6.000e-03, 2.895e+00, 2.152e-05, 2.641e-05, -1.050e-02, -3.013e+00, 4.026e-01, -1.530e+01, 3.013e+00, -1.530e+01
6.500e-03, 2.892e+00, 1.827e-05, 2.920e-05, -1.050e-02, -3.013e+00, 4.026e-01, -1.530e+01, 3.013e+00, -1.530e+01
7.000e-03, 2.889e+00, 1.479e-05, 3.149e-05, -1.050e-02, -3.013e+00, 4.026e-01, -1.530e+01, 3.013e+00, -1.530e+01
7.500e-03, 2.885e+00, 1.071e-05, 3.359e-05, -1.050e-02, -3.013e+00, 4.025e-01, -1.530e+01, 3.013e+00, -1.530e+01
8.000e-03, 2.882e+00, 6.124e-06, 3.541e-05, -1.050e-02, -3.013e+00, 4.025e-01, -1.530e+01, 3.013e+00, -1.530e+01
8.500e-03, 2.879e+00, 1.139e-06, 3.689e-05, -1.050e-02, -3.013e+00, 4.025e-01, -1.530e+01, 3.013e+00, -1.530e+01
9.000e-03, 2.875e+00, -4.127e-06, 3.798e-05, -1.050e-02, -3.013e+00, 4.024e-01, -1.530e+01, 3.013e+00, -1.530e+01
9.500e-03, 2.872e+00, -9.564e-06, 3.862e-05, -1.050e-02, -3.013e+00, 4.024e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.000e-02, 2.868e+00, -1.504e-05, 3.879e-05, -1.050e-02, -3.013e+00, 4.024e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.050e-02, 2.865e+00, -2.041e-05, 3.847e-05, -1.050e-02, -3.013e+00, 4.023e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.100e-02, 2.861e+00, -2.556e-05, 3.764e-05, -1.050e-02, -3.013e+00, 4.023e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.150e-02, 2.858e+00, -3.036e-05, 3.629e-05, -1.050e-02, -3.013e+00, 4.023e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.200e-02, 2.854e+00, -3.471e-05, 3.443e-05, -1.050e-02, -3.013e+00, 4.022e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.250e-02, 2.851e+00, -3.849e-05, 3.204e-05, -1.050e-02, -3.013e+00, 4.022e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.300e-02, 2.847e+00, -4.160e-05, 2.913e-05, -1.050e-02, -3.013e+00, 4.022e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.350e-02, 2.843e+00, -4.396e-05, 2.565e-05, -1.050e-02, -3.013e+00, 4.021e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.400e-02, 2.840e+00, -4.519e-05, 2.240e-05, -1.050e-02, -3.013e+00, 4.021e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.450e-02, 2.836e+00, -4.572e-05, 1.891e-05, -1.050e-02, -3.013e+00, 4.021e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.500e-02, 2.833e+00, -4.554e-05, 1.519e-05, -1.050e-02, -3.013e+00, 4.021e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.550e-02, 2.830e+00, -4.463e-05, 1.130e-05, -1.050e-02, -3.013e+00, 4.020e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.600e-02, 2.826e+00, -4.303e-05, 7.282e-06, -1.050e-02, -3.013e+00, 4.020e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.650e-02, 2.823e+00, -4.076e-05, 3.209e-06, -1.050e-02, -3.013e+00, 4.020e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.700e-02, 2.820e+00, -3.819e-05, -4.700e-07, -1.050e-02, -3.013e+00, 4.020e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.750e-02, 2.817e+00, -3.509e-05, -4.207e-06, -1.050e-02, -3.013e+00, 4.019e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.800e-02, 2.814e+00, -3.154e-05, -7.917e-06, -1.050e-02, -3.013e+00, 4.019e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.850e-02, 2.810e+00, -2.761e-05, -1.154e-05, -1.050e-02, -3.013e+00, 4.019e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.900e-02, 2.807e+00, -2.340e-05, -1.501e-05, -1.050e-02, -3.013e+00, 4.019e-01, -1.530e+01, 3.013e+00, -1.530e+01
1.950e-02, 2.804e+00, -1.900e-05, -1.830e-05, -1.050e-02, -3.013e+00, 4.018e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.000e-02, 2.801e+00, -1.452e-05, -2.137e-05, -1.050e-02, -3.013e+00, 4.018e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.050e-02, 2.797e+00, -1.005e-05, -2.419e-05, -1.050e-02, -3.013e+00, 4.018e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.100e-02, 2.794e+00, -5.700e-06, -2.674e-05, -1.050e-02, -3.013e+00, 4.017e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.150e-02, 2.791e+00, -1.559e-06, -2.900e-05, -1.050e-02, -3.013e+00, 4.017e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.200e-02, 2.787e+00, 2.282e-06, -3.096e-05, -1.050e-02, -3.013e+00, 4.017e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.250e-02, 2.784e+00, 5.746e-06, -3.262e-05, -1.050e-02, -3.013e+00, 4.016e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.300e-02, 2.780e+00, 8.756e-06, -3.399e-05, -1.050e-02, -3.013e+00, 4.016e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.350e-02, 2.778e+00, 1.026e-05, -3.464e-05, -1.050e-02, -3.013e+00, 4.016e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.400e-02, 2.774e+00, 1.237e-05, -3.552e-05, -1.050e-02, -3.013e+00, 4.015e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.450e-02, 2.771e+00, 1.361e-05, -3.603e-05, -1.050e-02, -3.013e+00, 4.015e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.500e-02, 2.768e+00, 1.429e-05, -3.632e-05, -1.050e-02, -3.013e+00, 4.015e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.550e-02, 2.765e+00, 1.441e-05, -3.640e-05, -1.050e-02, -3.013e+00, 4.014e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.600e-02, 2.762e+00, 1.401e-05, -3.632e-05, -1.050e-02, -3.013e+00, 4.014e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.650e-02, 2.759e+00, 1.325e-05, -3.613e-05, -1.050e-02, -3.013e+00, 4.014e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.700e-02, 2.754e+00, 1.134e-05, -3.564e-05, -1.050e-02, -3.013e+00, 4.013e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.750e-02, 2.752e+00, 9.642e-06, -3.521e-05, -1.050e-02, -3.013e+00, 4.013e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.800e-02, 2.749e+00, 7.607e-06, -3.471e-05, -1.050e-02, -3.013e+00, 4.013e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.850e-02, 2.745e+00, 5.299e-06, -3.416e-05, -1.050e-02, -3.013e+00, 4.012e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.900e-02, 2.742e+00, 2.784e-06, -3.358e-05, -1.050e-02, -3.013e+00, 4.012e-01, -1.530e+01, 3.013e+00, -1.530e+01
2.950e-02, 2.739e+00, 1.372e-07, -3.299e-05, -1.050e-02, -3.013e+00, 4.012e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.000e-02, 2.736e+00, -2.564e-06, -3.240e-05, -1.050e-02, -3.013e+00, 4.011e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.050e-02, 2.733e+00, -5.242e-06, -3.183e-05, -1.050e-02, -3.013e+00, 4.011e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.100e-02, 2.730e+00, -7.821e-06, -3.128e-05, -1.050e-02, -3.013e+00, 4.011e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.150e-02, 2.727e+00, -1.021e-05, -3.075e-05, -1.050e-02, -3.013e+00, 4.010e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.200e-02, 2.723e+00, -1.234e-05, -3.027e-05, -1.050e-02, -3.013e+00, 4.010e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.250e-02, 2.720e+00, -1.413e-05, -2.982e-05, -1.050e-02, -3.013e+00, 4.010e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.300e-02, 2.718e+00, -1.497e-05, -2.957e-05, -1.050e-02, -3.013e+00, 4.009e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.350e-02, 2.715e+00, -1.607e-05, -2.917e-05, -1.050e-02, -3.013e+00, 4.009e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.400e-02, 2.711e+00, -1.665e-05, -2.878e-05, -1.050e-02, -3.013e+00, 4.009e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.450e-02, 2.708e+00, -1.664e-05, -2.841e-05, -1.050e-02, -3.013e+00, 4.008e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.500e-02, 2.705e+00, -1.612e-05, -2.808e-05, -1.050e-02, -3.013e+00, 4.008e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.550e-02, 2.702e+00, -1.510e-05, -2.773e-05, -1.050e-02, -3.013e+00, 4.008e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.600e-02, 2.699e+00, -1.359e-05, -2.735e-05, -1.050e-02, -3.013e+00, 4.007e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.650e-02, 2.696e+00, -1.183e-05, -2.698e-05, -1.050e-02, -3.013e+00, 4.007e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.700e-02, 2.693e+00, -9.764e-06, -2.657e-05, -1.050e-02, -3.013e+00, 4.007e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.750e-02, 2.691e+00, -7.271e-06, -2.609e-05, -1.050e-02, -3.013e+00, 4.006e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.800e-02, 2.686e+00, -2.954e-06, -2.525e-05, -1.050e-02, -3.013e+00, 4.006e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.850e-02, 2.683e+00, 2.843e-07, -2.458e-05, -1.050e-02, -3.013e+00, 4.006e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.900e-02, 2.681e+00, 3.772e-06, -2.381e-05, -1.050e-02, -3.013e+00, 4.005e-01, -1.530e+01, 3.013e+00, -1.530e+01
3.950e-02, 2.678e+00, 7.453e-06, -2.293e-05, -1.050e-02, -3.013e+00, 4.005e-01, -1.530e+01, 3.013e+00, -1.530e+01
4.000e-02, 2.675e+00, 1.126e-05, -2.194e-05, -1.050e-02, -3.013e+00, 4.005e-01, -1.530e+01, 3.013e+00, -1.530e+01
4.050e-02, 2.672e+00, 1.511e-05, -2.082e-05, -1.050e-02, -3.013e+00, 4.004e-01, -1.530e+01, 3.013e+00, -1.530e+01
4.100e-02, 2.669e+00, 1.895e-05, -1.958e-05, -1.050e-02, -3.013e+00, 4.004e-01, -1.530e+01, 3.013e+00, -1.530e+01
4.150e-02, 2.666e+00, 2.269e-05, -1.821e-05, -1.050e-02, -3.013e+00, 4.003e-01, -1.530e+01, 3.013e+00, -1.530e+01
