# Time,     alpha,      beta,     p,      q,      r,    MX,     MY,     MZ 
5.000e-04, 8.417e-06, 7.858e-07, 9.978e+02, 7.841e-04, 8.398e-03, -1.350e-03, -7.701e-04, 7.281e-05
1.000e-03, 1.295e-05, 1.947e-06, 9.966e+02, 1.940e-03, 1.291e-02, -1.348e-03, -1.176e-03, 1.793e-04
1.500e-03, 1.682e-05, 3.485e-06, 9.954e+02, 3.468e-03, 1.674e-02, -1.347e-03, -1.516e-03, 3.195e-04
2.000e-03, 1.764e-05, 3.897e-06, 9.951e+02, 3.878e-03, 1.755e-02, -1.346e-03, -1.587e-03, 3.570e-04
2.500e-03, 2.106e-05, 6.070e-06, 9.938e+02, 6.032e-03, 2.093e-02, -1.344e-03, -1.878e-03, 5.536e-04
3.000e-03, 2.376e-05, 8.671e-06, 9.925e+02, 8.606e-03, 2.359e-02, -1.343e-03, -2.100e-03, 7.874e-04
3.500e-03, 2.560e-05, 1.159e-05, 9.912e+02, 1.149e-02, 2.537e-02, -1.341e-03, -2.239e-03, 1.048e-03
4.000e-03, 2.643e-05, 1.441e-05, 9.900e+02, 1.427e-02, 2.616e-02, -1.339e-03, -2.288e-03, 1.298e-03
4.500e-03, 2.645e-05, 1.738e-05, 9.888e+02, 1.719e-02, 2.616e-02, -1.338e-03, -2.263e-03, 1.560e-03
5.000e-03, 2.564e-05, 2.042e-05, 9.876e+02, 2.017e-02, 2.532e-02, -1.336e-03, -2.163e-03, 1.825e-03
5.500e-03, 2.399e-05, 2.345e-05, 9.864e+02, 2.314e-02, 2.366e-02, -1.334e-03, -1.988e-03, 2.088e-03
6.000e-03, 2.152e-05, 2.641e-05, 9.852e+02, 2.602e-02, 2.120e-02, -1.333e-03, -1.742e-03, 2.341e-03
6.500e-03, 1.827e-05, 2.920e-05, 9.840e+02, 2.873e-02, 1.798e-02, -1.331e-03, -1.430e-03, 2.577e-03
7.000e-03, 1.479e-05, 3.149e-05, 9.829e+02, 3.095e-02, 1.454e-02, -1.330e-03, -1.103e-03, 2.767e-03
7.500e-03, 1.071e-05, 3.359e-05, 9.818e+02, 3.298e-02, 1.052e-02, -1.328e-03, -7.262e-04, 2.939e-03
8.000e-03, 6.124e-06, 3.541e-05, 9.806e+02, 3.473e-02, 6.006e-03, -1.326e-03, -3.091e-04, 3.084e-03
8.500e-03, 1.139e-06, 3.689e-05, 9.795e+02, 3.613e-02, 1.116e-03, -1.325e-03, 1.379e-04, 3.198e-03
9.000e-03, -4.127e-06, 3.798e-05, 9.783e+02, 3.715e-02, -4.037e-03, -1.323e-03, 6.039e-04, 3.274e-03
9.500e-03, -9.564e-06, 3.862e-05, 9.771e+02, 3.774e-02, -9.346e-03, -1.322e-03, 1.079e-03, 3.311e-03
1.000e-02, -1.504e-05, 3.879e-05, 9.760e+02, 3.786e-02, -1.468e-02, -1.320e-03, 1.550e-03, 3.306e-03
1.050e-02, -2.041e-05, 3.847e-05, 9.748e+02, 3.750e-02, -1.990e-02, -1.318e-03, 2.007e-03, 3.256e-03
1.100e-02, -2.556e-05, 3.764e-05, 9.736e+02, 3.664e-02, -2.489e-02, -1.317e-03, 2.437e-03, 3.161e-03
1.150e-02, -3.036e-05, 3.629e-05, 9.724e+02, 3.529e-02, -2.953e-02, -1.315e-03, 2.831e-03, 3.022e-03
1.200e-02, -3.471e-05, 3.443e-05, 9.711e+02, 3.343e-02, -3.371e-02, -1.314e-03, 3.179e-03, 2.838e-03
1.250e-02, -3.849e-05, 3.204e-05, 9.699e+02, 3.108e-02, -3.733e-02, -1.312e-03, 3.473e-03, 2.610e-03
1.300e-02, -4.160e-05, 2.913e-05, 9.686e+02, 2.822e-02, -4.030e-02, -1.310e-03, 3.704e-03, 2.337e-03
