 # Time,     Mach,      alfa,      beta,      Cd,      Cd0,     Cdd2,     CL_alfa,     Cn_p_alfa,     Cn_q_alfa 
5.000e-04, 2.934e+00, 6.983e-06, 5.285e-07, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.000e-03, 2.930e+00, 1.178e-05, 1.526e-06, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.500e-03, 2.926e+00, 1.645e-05, 3.030e-06, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
2.000e-03, 2.925e+00, 1.877e-05, 3.993e-06, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
2.500e-03, 2.921e+00, 2.312e-05, 6.223e-06, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
3.000e-03, 2.917e+00, 2.725e-05, 8.917e-06, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
3.500e-03, 2.914e+00, 3.110e-05, 1.206e-05, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
4.000e-03, 2.910e+00, 3.466e-05, 1.562e-05, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
4.500e-03, 2.906e+00, 3.786e-05, 1.956e-05, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
5.000e-03, 2.903e+00, 4.058e-05, 2.368e-05, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
5.500e-03, 2.899e+00, 4.295e-05, 2.812e-05, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
6.000e-03, 2.896e+00, 4.492e-05, 3.286e-05, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
6.500e-03, 2.892e+00, 4.649e-05, 3.785e-05, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
7.000e-03, 2.889e+00, 4.763e-05, 4.307e-05, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
7.500e-03, 2.886e+00, 4.831e-05, 4.849e-05, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
8.000e-03, 2.882e+00, 4.853e-05, 5.407e-05, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
8.500e-03, 2.879e+00, 4.826e-05, 5.978e-05, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
9.000e-03, 2.875e+00, 4.750e-05, 6.558e-05, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
9.500e-03, 2.872e+00, 4.623e-05, 7.143e-05, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.000e-02, 2.868e+00, 4.446e-05, 7.729e-05, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.050e-02, 2.865e+00, 4.217e-05, 8.313e-05, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.100e-02, 2.861e+00, 3.937e-05, 8.891e-05, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.150e-02, 2.858e+00, 3.605e-05, 9.459e-05, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.200e-02, 2.854e+00, 3.223e-05, 1.001e-04, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.250e-02, 2.851e+00, 2.790e-05, 1.055e-04, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.300e-02, 2.848e+00, 2.308e-05, 1.106e-04, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.350e-02, 2.844e+00, 1.777e-05, 1.155e-04, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.400e-02, 2.841e+00, 1.199e-05, 1.202e-04, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.450e-02, 2.837e+00, 5.758e-06, 1.244e-04, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.500e-02, 2.834e+00, -9.127e-07, 1.284e-04, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.550e-02, 2.830e+00, -8.003e-06, 1.319e-04, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.600e-02, 2.827e+00, -1.521e-05, 1.349e-04, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.650e-02, 2.824e+00, -2.269e-05, 1.375e-04, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.700e-02, 2.821e+00, -3.049e-05, 1.396e-04, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.750e-02, 2.817e+00, -3.858e-05, 1.412e-04, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.800e-02, 2.814e+00, -4.693e-05, 1.424e-04, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.850e-02, 2.811e+00, -5.550e-05, 1.430e-04, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.900e-02, 2.807e+00, -6.427e-05, 1.431e-04, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
1.950e-02, 2.804e+00, -7.320e-05, 1.426e-04, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
2.000e-02, 2.801e+00, -8.225e-05, 1.416e-04, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
2.050e-02, 2.798e+00, -9.138e-05, 1.399e-04, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
2.100e-02, 2.794e+00, -1.006e-04, 1.377e-04, 3.200e-01, 3.200e-01, 4.400e+00, 2.850e+00, -6.700e-01, 0.000e+00
