 # Time,   Mach,     alfa,     beta,     Clp,     Cm_alfa,     Cm_p_alfa,     Cm_q,     Cn_beta,     Cn_r 
5.000e-04, 2.939e+00, 0.000e+00, 0.000e+00, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
5.000e-04, 2.939e+00, 4.374e-09, 0.000e+00, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
5.000e-04, 2.939e+00, 4.374e-09, 4.100e-13, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
5.000e-04, 2.939e+00, 8.748e-09, 8.200e-13, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
5.000e-04, 2.939e+00, 8.747e-09, 1.230e-12, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
5.000e-04, 2.937e+00, 2.351e-06, 5.956e-08, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
5.000e-04, 2.937e+00, 2.350e-06, 5.930e-08, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
5.000e-04, 2.935e+00, 4.678e-06, 2.364e-07, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
5.000e-04, 2.935e+00, 4.676e-06, 2.358e-07, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
5.000e-04, 2.934e+00, 6.985e-06, 5.292e-07, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
5.000e-04, 2.934e+00, 6.983e-06, 5.285e-07, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.000e-03, 2.935e+00, 4.856e-06, 2.545e-07, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.000e-03, 2.935e+00, 4.864e-06, 2.553e-07, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.000e-03, 2.935e+00, 4.864e-06, 2.553e-07, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.000e-03, 2.935e+00, 4.872e-06, 2.562e-07, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.000e-03, 2.935e+00, 4.872e-06, 2.562e-07, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.000e-03, 2.934e+00, 7.203e-06, 5.630e-07, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.000e-03, 2.934e+00, 7.202e-06, 5.626e-07, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.000e-03, 2.932e+00, 9.509e-06, 9.873e-07, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.000e-03, 2.932e+00, 9.507e-06, 9.865e-07, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.000e-03, 2.930e+00, 1.178e-05, 1.527e-06, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.000e-03, 2.930e+00, 1.178e-05, 1.526e-06, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.500e-03, 2.932e+00, 9.625e-06, 1.012e-06, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.500e-03, 2.932e+00, 9.637e-06, 1.014e-06, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.500e-03, 2.932e+00, 9.637e-06, 1.014e-06, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.500e-03, 2.932e+00, 9.648e-06, 1.016e-06, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.500e-03, 2.932e+00, 9.648e-06, 1.016e-06, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.500e-03, 2.930e+00, 1.195e-05, 1.572e-06, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.500e-03, 2.930e+00, 1.195e-05, 1.571e-06, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.500e-03, 2.928e+00, 1.422e-05, 2.244e-06, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.500e-03, 2.928e+00, 1.422e-05, 2.243e-06, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.500e-03, 2.926e+00, 1.645e-05, 3.031e-06, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
1.500e-03, 2.926e+00, 1.645e-05, 3.030e-06, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
2.000e-03, 2.928e+00, 1.427e-05, 2.260e-06, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
2.000e-03, 2.928e+00, 1.428e-05, 2.265e-06, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
2.000e-03, 2.928e+00, 1.428e-05, 2.265e-06, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
2.000e-03, 2.928e+00, 1.430e-05, 2.270e-06, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
2.000e-03, 2.928e+00, 1.430e-05, 2.270e-06, -1.000e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
