# Time,     alpha,      beta,     p,      q,      r,    MX,     MY,     MZ 
5.000e-04, 6.983e-06, 5.285e-07, 9.982e+02, 5.276e-04, 6.970e-03, -1.286e-02, 0.000e+00, 0.000e+00
1.000e-03, 1.178e-05, 1.526e-06, 9.970e+02, 1.522e-03, 1.175e-02, -1.284e-02, 0.000e+00, 0.000e+00
1.500e-03, 1.645e-05, 3.030e-06, 9.957e+02, 3.017e-03, 1.638e-02, -1.283e-02, 0.000e+00, 0.000e+00
2.000e-03, 1.877e-05, 3.993e-06, 9.951e+02, 3.974e-03, 1.868e-02, -1.282e-02, 0.000e+00, 0.000e+00
2.500e-03, 2.312e-05, 6.223e-06, 9.939e+02, 6.185e-03, 2.298e-02, -1.280e-02, 0.000e+00, 0.000e+00
3.000e-03, 2.725e-05, 8.917e-06, 9.926e+02, 8.851e-03, 2.705e-02, -1.279e-02, 0.000e+00, 0.000e+00
3.500e-03, 3.110e-05, 1.206e-05, 9.914e+02, 1.195e-02, 3.084e-02, -1.277e-02, 0.000e+00, 0.000e+00
4.000e-03, 3.466e-05, 1.562e-05, 9.901e+02, 1.547e-02, 3.432e-02, -1.275e-02, 0.000e+00, 0.000e+00
4.500e-03, 3.786e-05, 1.956e-05, 9.889e+02, 1.934e-02, 3.744e-02, -1.274e-02, 0.000e+00, 0.000e+00
5.000e-03, 4.058e-05, 2.368e-05, 9.877e+02, 2.339e-02, 4.008e-02, -1.272e-02, 0.000e+00, 0.000e+00
5.500e-03, 4.295e-05, 2.812e-05, 9.866e+02, 2.774e-02, 4.237e-02, -1.271e-02, 0.000e+00, 0.000e+00
6.000e-03, 4.492e-05, 3.286e-05, 9.854e+02, 3.238e-02, 4.427e-02, -1.269e-02, 0.000e+00, 0.000e+00
6.500e-03, 4.649e-05, 3.785e-05, 9.842e+02, 3.725e-02, 4.576e-02, -1.267e-02, 0.000e+00, 0.000e+00
7.000e-03, 4.763e-05, 4.307e-05, 9.830e+02, 4.234e-02, 4.682e-02, -1.266e-02, 0.000e+00, 0.000e+00
7.500e-03, 4.831e-05, 4.849e-05, 9.818e+02, 4.761e-02, 4.743e-02, -1.264e-02, 0.000e+00, 0.000e+00
8.000e-03, 4.853e-05, 5.407e-05, 9.806e+02, 5.303e-02, 4.759e-02, -1.263e-02, 0.000e+00, 0.000e+00
8.500e-03, 4.826e-05, 5.978e-05, 9.795e+02, 5.855e-02, 4.727e-02, -1.261e-02, 0.000e+00, 0.000e+00
9.000e-03, 4.750e-05, 6.558e-05, 9.783e+02, 6.415e-02, 4.647e-02, -1.260e-02, 0.000e+00, 0.000e+00
9.500e-03, 4.623e-05, 7.143e-05, 9.771e+02, 6.979e-02, 4.517e-02, -1.258e-02, 0.000e+00, 0.000e+00
1.000e-02, 4.446e-05, 7.729e-05, 9.759e+02, 7.543e-02, 4.339e-02, -1.257e-02, 0.000e+00, 0.000e+00
1.050e-02, 4.217e-05, 8.313e-05, 9.748e+02, 8.103e-02, 4.111e-02, -1.255e-02, 0.000e+00, 0.000e+00
1.100e-02, 3.937e-05, 8.891e-05, 9.736e+02, 8.656e-02, 3.833e-02, -1.253e-02, 0.000e+00, 0.000e+00
