# Time,      alpha,      beta,      V_inf,     u(v_body_X), v(v_body_Y), w(v_body_Z),  p,       q,         r,         gx,         gy,       gz,      FX_body,    FY_body,    FZ_body  
1.000e-02, 2.203e-01, 1.534e-03, 7.992e+02, 7.798e+02, 1.226e+00, 1.746e+02, 1.600e+03, 5.850e+00, 5.336e+00, -8.940e+00, -1.985e-08, 4.039e+00, -2.338e+03, 3.480e+02, -5.063e+03
2.000e-02, 2.183e-01, -1.201e-01, 7.983e+02, 7.737e+02, -9.562e+01, 1.717e+02, 1.599e+03, -5.203e+00, 8.627e+00, -8.976e+00, -5.671e-08, 3.959e+00, -2.367e+03, 3.167e+03, -4.799e+03
3.000e-02, 1.301e-01, -1.646e-01, 7.974e+02, 7.800e+02, -1.307e+02, 1.020e+02, 1.599e+03, -6.900e+00, -2.222e+00, -8.638e+00, -1.652e-07, 4.650e+00, -2.312e+03, 3.987e+03, -2.652e+03
4.000e-02, 1.178e-01, -1.220e-01, 7.966e+02, 7.852e+02, -9.691e+01, 9.296e+01, 1.599e+03, 2.715e+00, -1.499e+00, -8.543e+00, -7.147e-08, 4.822e+00, -2.258e+03, 2.963e+03, -2.434e+03
5.000e-02, 1.353e-01, -1.617e-01, 7.958e+02, 7.783e+02, -1.281e+02, 1.060e+02, 1.599e+03, -4.133e-01, 7.269e+00, -8.666e+00, -2.351e-07, 4.597e+00, -2.301e+03, 3.911e+03, -2.763e+03
6.000e-02, 5.572e-02, -2.296e-01, 7.950e+02, 7.729e+02, -1.809e+02, 4.311e+01, 1.598e+03, -9.212e+00, 1.226e+00, -8.377e+00, 1.543e-07, 5.106e+00, -2.326e+03, 5.317e+03, -8.489e+02
7.000e-02, -3.931e-03, -1.972e-01, 7.941e+02, 7.787e+02, -1.556e+02, -3.061e+00, 1.598e+03, -3.126e+00, -5.584e+00, -8.002e+00, -3.885e-08, 5.674e+00, -2.272e+03, 4.430e+03, 4.275e+02
8.000e-02, 1.173e-02, -1.636e-01, 7.934e+02, 7.827e+02, -1.293e+02, 9.180e+00, 1.598e+03, 2.656e+00, 6.739e-01, -8.043e+00, 9.195e-08, 5.617e+00, -2.229e+03, 3.672e+03, 2.304e+01
9.000e-02, -4.044e-03, -2.038e-01, 7.926e+02, 7.762e+02, -1.604e+02, -3.139e+00, 1.598e+03, -5.134e+00, 4.656e+00, -8.014e+00, 5.598e-08, 5.658e+00, -2.269e+03, 4.563e+03, 4.397e+02
1.000e-01, -8.190e-02, -2.093e-01, 7.918e+02, 7.719e+02, -1.645e+02, -6.336e+01, 1.597e+03, -7.596e+00, -4.025e+00, -7.559e+00, 3.553e-08, 6.252e+00, -2.288e+03, 4.565e+03, 2.171e+03
1.100e-01, -1.052e-01, -1.583e-01, 7.910e+02, 7.768e+02, -1.247e+02, -8.205e+01, 1.597e+03, 1.209e-01, -5.978e+00, -7.322e+00, -1.722e-07, 6.529e+00, -2.241e+03, 3.349e+03, 2.593e+03
1.200e-01, -7.949e-02, -1.374e-01, 7.903e+02, 7.804e+02, -1.082e+02, -6.216e+01, 1.597e+03, 1.568e+00, 1.830e+00, -7.457e+00, -2.393e-07, 6.374e+00, -2.200e+03, 2.900e+03, 1.979e+03
1.300e-01, -1.097e-01, -1.616e-01, 7.895e+02, 7.746e+02, -1.271e+02, -8.529e+01, 1.597e+03, -6.354e+00, 9.696e-01, -7.291e+00, -2.229e-07, 6.563e+00, -2.235e+03, 3.402e+03, 2.685e+03
1.400e-01, -1.665e-01, -1.345e-01, 7.887e+02, 7.708e+02, -1.058e+02, -1.296e+02, 1.596e+03, -4.287e+00, -6.722e+00, -6.861e+00, -2.198e-07, 7.011e+00, -2.252e+03, 2.714e+03, 3.901e+03
1.500e-01, -1.607e-01, -8.041e-02, 7.880e+02, 7.753e+02, -6.329e+01, -1.257e+02, 1.596e+03, 2.964e+00, -4.420e+00, -6.840e+00, -2.359e-07, 7.032e+00, -2.206e+03, 1.502e+03, 3.661e+03
1.600e-01, -1.339e-01, -7.444e-02, 7.873e+02, 7.781e+02, -5.855e+01, -1.048e+02, 1.596e+03, 2.416e-01, 2.116e+00, -7.015e+00, -2.314e-07, 6.857e+00, -2.172e+03, 1.402e+03, 3.046e+03
1.700e-01, -1.669e-01, -8.212e-02, 7.866e+02, 7.730e+02, -6.452e+01, -1.302e+02, 1.596e+03, -5.522e+00, -2.105e+00, -6.784e+00, -1.273e-07, 7.086e+00, -2.203e+03, 1.524e+03, 3.787e+03
1.800e-01, -1.998e-01, -3.707e-02, 7.858e+02, 7.696e+02, -2.912e+01, -1.559e+02, 1.595e+03, -4.415e-01, -7.377e+00, -6.513e+00, -3.613e-07, 7.336e+00, -2.217e+03, 4.796e+02, 4.439e+03
1.900e-01, -1.706e-01, 6.831e-03, 7.850e+02, 7.736e+02, 5.363e+00, -1.333e+02, 1.595e+03, 4.327e+00, -2.100e+00, -6.710e+00, -2.075e-07, 7.156e+00, -2.175e+03, -4.379e+02, 3.695e+03
2.000e-01, -1.479e-01, 1.437e-03, 7.843e+02, 7.758e+02, 1.127e+00, -1.156e+02, 1.595e+03, -1.015e+00, 1.636e+00, -6.864e+00, -2.086e-07, 7.009e+00, -2.146e+03, -2.814e+02, 3.192e+03
2.100e-01, -1.797e-01, 1.122e-02, 7.836e+02, 7.709e+02, 8.795e+00, -1.400e+02, 1.595e+03, -3.227e+00, -4.692e+00, -6.631e+00, -2.106e-07, 7.229e+00, -2.175e+03, -5.473e+02, 3.872e+03
2.200e-01, -1.822e-01, 6.241e-02, 7.829e+02, 7.684e+02, 4.883e+01, -1.416e+02, 1.594e+03, 3.358e+00, -5.917e+00, -6.623e+00, -2.405e-07, 7.237e+00, -2.183e+03, -1.665e+03, 3.834e+03
2.300e-01, -1.358e-01, 8.442e-02, 7.821e+02, 7.722e+02, 6.595e+01, -1.055e+02, 1.594e+03, 4.009e+00, 7.205e-01, -6.960e+00, -2.548e-07, 6.913e+00, -2.142e+03, -2.047e+03, 2.766e+03
2.400e-01, -1.234e-01, 7.200e-02, 7.815e+02, 7.735e+02, 5.622e+01, -9.596e+01, 1.594e+03, -1.637e+00, 6.206e-01, -7.032e+00, -2.238e-07, 6.840e+00, -2.120e+03, -1.750e+03, 2.512e+03
2.500e-01, -1.453e-01, 9.651e-02, 7.808e+02, 7.689e+02, 7.523e+01, -1.125e+02, 1.594e+03, 3.165e-02, -5.488e+00, -6.894e+00, -4.233e-07, 6.979e+00, -2.147e+03, -2.318e+03, 2.942e+03
2.600e-01, -1.203e-01, 1.377e-01, 7.800e+02, 7.671e+02, 1.071e+02, -9.272e+01, 1.593e+03, 5.537e+00, -2.944e+00, -7.106e+00, -1.224e-08, 6.763e+00, -2.151e+03, -3.154e+03, 2.328e+03
2.700e-01, -7.118e-02, 1.353e-01, 7.794e+02, 7.703e+02, 1.051e+02, -5.492e+01, 1.593e+03, 2.821e+00, 2.420e+00, -7.424e+00, -1.171e-07, 6.412e+00, -2.115e+03, -2.996e+03, 1.277e+03
2.800e-01, -6.733e-02, 1.209e-01, 7.787e+02, 7.713e+02, 9.392e+01, -5.201e+01, 1.593e+03, -1.547e+00, -6.700e-01, -7.431e+00, -9.995e-08, 6.404e+00, -2.096e+03, -2.672e+03, 1.216e+03
2.900e-01, -7.320e-02, 1.489e-01, 7.780e+02, 7.674e+02, 1.154e+02, -5.627e+01, 1.593e+03, 2.482e+00, -4.380e+00, -7.424e+00, -2.354e-07, 6.412e+00, -2.118e+03, -3.280e+03, 1.292e+03
3.000e-01, -3.081e-02, 1.717e-01, 7.774e+02, 7.656e+02, 1.328e+02, -2.360e+01, 1.592e+03, 5.853e+00, 1.717e-01, -7.719e+00, 1.257e-08, 6.054e+00, -2.123e+03, -3.689e+03, 3.608e+02
3.100e-01, 1.384e-02, 1.450e-01, 7.766e+02, 7.684e+02, 1.122e+02, 1.064e+01, 1.592e+03, 8.475e-01, 3.208e+00, -7.950e+00, 4.422e-08, 5.748e+00, -2.088e+03, -3.028e+03, -5.301e+02
3.200e-01, 9.016e-03, 1.342e-01, 7.760e+02, 7.690e+02, 1.038e+02, 6.933e+00, 1.592e+03, -5.448e-01, -1.630e+00, -7.911e+00, 3.308e-08, 5.801e+00, -2.073e+03, -2.797e+03, -4.105e+02
3.300e-01, 2.468e-02, 1.594e-01, 7.753e+02, 7.653e+02, 1.230e+02, 1.889e+01, 1.592e+03, 4.629e+00, -1.658e+00, -8.031e+00, 1.397e-07, 5.634e+00, -2.094e+03, -3.304e+03, -7.774e+02
3.400e-01, 7.271e-02, 1.496e-01, 7.747e+02, 7.640e+02, 1.155e+02, 5.565e+01, 1.591e+03, 4.218e+00, 3.408e+00, -8.283e+00, 9.889e-08, 5.256e+00, -2.094e+03, -3.019e+03, -1.760e+03
3.500e-01, 9.368e-02, 1.026e-01, 7.740e+02, 7.666e+02, 7.928e+01, 7.202e+01, 1.591e+03, -1.209e+00, 2.649e+00, -8.354e+00, 1.211e-07, 5.143e+00, -2.062e+03, -1.985e+03, -2.113e+03
3.600e-01, 8.441e-02, 9.879e-02, 7.734e+02, 7.669e+02, 7.628e+01, 6.489e+01, 1.591e+03, 5.298e-01, -1.446e+00, -8.306e+00, 1.213e-07, 5.220e+00, -2.050e+03, -1.914e+03, -1.909e+03
3.700e-01, 1.128e-01, 1.058e-01, 7.727e+02, 7.635e+02, 8.158e+01, 8.646e+01, 1.591e+03, 4.342e+00, 1.457e+00, -8.458e+00, 3.896e-07, 4.969e+00, -2.068e+03, -2.017e+03, -2.508e+03
3.800e-01, 1.465e-01, 5.834e-02, 7.721e+02, 7.625e+02, 4.502e+01, 1.125e+02, 1.590e+03, 3.544e-01, 4.937e+00, -8.600e+00, 3.367e-07, 4.719e+00, -2.066e+03, -9.738e+02, -3.130e+03
3.900e-01, 1.317e-01, 1.757e-02, 7.714e+02, 7.646e+02, 1.355e+01, 1.013e+02, 1.590e+03, -2.357e+00, 1.033e+00, -8.523e+00, 3.442e-07, 4.857e+00, -2.038e+03, -1.470e+02, -2.744e+03
4.000e-01, 1.252e-01, 2.198e-02, 7.708e+02, 7.646e+02, 1.694e+01, 9.620e+01, 1.590e+03, 1.669e+00, -3.950e-01, -8.495e+00, 3.469e-07, 4.906e+00, -2.029e+03, -2.478e+02, -2.609e+03
4.100e-01, 1.480e-01, 3.948e-03, 7.702e+02, 7.618e+02, 3.041e+00, 1.136e+02, 1.590e+03, 2.091e+00, 3.722e+00, -8.606e+00, 3.476e-07, 4.708e+00, -2.044e+03, 1.606e+02, -3.052e+03
4.200e-01, 1.418e-01, -5.214e-02, 7.696e+02, 7.608e+02, -4.011e+01, 1.086e+02, 1.590e+03, -2.825e+00, 3.660e+00, -8.589e+00, 4.166e-07, 4.740e+00, -2.042e+03, 1.305e+03, -2.823e+03
4.300e-01, 1.082e-01, -6.822e-02, 7.689e+02, 7.626e+02, -5.242e+01, 8.284e+01, 1.589e+03, -2.255e+00, -6.402e-01, -8.434e+00, 4.565e-07, 5.010e+00, -2.016e+03, 1.572e+03, -2.095e+03
4.400e-01, 1.067e-01, -6.190e-02, 7.683e+02, 7.625e+02, -4.753e+01, 8.165e+01, 1.589e+03, 1.402e+00, 9.045e-01, -8.426e+00, 4.634e-07, 5.023e+00, -2.008e+03, 1.437e+03, -2.069e+03
4.500e-01, 1.093e-01, -9.217e-02, 7.677e+02, 7.599e+02, -7.066e+01, 8.337e+01, 1.589e+03, -1.059e+00, 3.920e+00, -8.458e+00, 4.132e-07, 4.970e+00, -2.021e+03, 2.059e+03, -2.070e+03
4.600e-01, 7.111e-02, -1.246e-01, 7.670e+02, 7.592e+02, -9.529e+01, 5.407e+01, 1.589e+03, -4.170e+00, 6.074e-01, -8.289e+00, 5.405e-07, 5.246e+00, -2.016e+03, 2.649e+03, -1.236e+03
4.700e-01, 4.406e-02, -1.132e-01, 7.664e+02, 7.608e+02, -8.654e+01, 3.354e+01, 1.588e+03, -9.972e-01, -1.613e+00, -8.136e+00, 5.164e-07, 5.481e+00, -1.993e+03, 2.361e+03, -7.037e+02
4.800e-01, 4.651e-02, -1.098e-01, 7.658e+02, 7.604e+02, -8.389e+01, 3.539e+01, 1.588e+03, 4.554e-01, 1.497e+00, -8.148e+00, 5.344e-07, 5.464e+00, -1.987e+03, 2.291e+03, -7.568e+02
4.900e-01, 2.796e-02, -1.357e-01, 7.652e+02, 7.579e+02, -1.035e+02, 2.120e+01, 1.588e+03, -3.385e+00, 2.033e+00, -8.070e+00, 5.949e-07, 5.577e+00, -1.999e+03, 2.784e+03, -3.414e+02
5.000e-01, -1.140e-02, -1.358e-01, 7.646e+02, 7.575e+02, -1.035e+02, -8.636e+00, 1.588e+03, -3.370e+00, -1.862e+00, -7.845e+00, 5.979e-07, 5.890e+00, -1.992e+03, 2.715e+03, 4.472e+02
5.100e-01, -2.270e-02, -1.133e-01, 7.640e+02, 7.589e+02, -8.634e+01, -1.723e+01, 1.587e+03, 1.804e-01, -1.481e+00, -7.754e+00, 5.632e-07, 6.009e+00, -1.971e+03, 2.233e+03, 6.356e+02
5.200e-01, -2.106e-02, -1.145e-01, 7.634e+02, 7.582e+02, -8.722e+01, -1.597e+01, 1.587e+03, -8.010e-01, 1.536e+00, -7.764e+00, 5.466e-07, 5.996e+00, -1.967e+03, 2.256e+03, 6.037e+02
5.300e-01, -4.657e-02, -1.245e-01, 7.628e+02, 7.561e+02, -9.474e+01, -3.524e+01, 1.587e+03, -3.712e+00, -1.475e-01, -7.617e+00, 5.977e-07, 6.181e+00, -1.977e+03, 2.416e+03, 1.126e+03
5.400e-01, -7.510e-02, -1.059e-01, 7.622e+02, 7.558e+02, -8.060e+01, -5.687e+01, 1.587e+03, -1.720e+00, -3.098e+00, -7.417e+00, 5.726e-07, 6.421e+00, -1.970e+03, 1.995e+03, 1.662e+03
5.500e-01, -7.284e-02, -8.312e-02, 7.616e+02, 7.569e+02, -6.323e+01, -5.523e+01, 1.586e+03, 7.854e-01, -9.371e-01, -7.410e+00, 5.701e-07, 6.429e+00, -1.950e+03, 1.535e+03, 1.576e+03
5.600e-01, -7.370e-02, -8.534e-02, 7.610e+02, 7.562e+02, -6.487e+01, -5.583e+01, 1.586e+03, -1.545e+00, 7.812e-01, -7.403e+00, 5.660e-07, 6.437e+00, -1.948e+03, 1.575e+03, 1.593e+03
5.700e-01, -9.877e-02, -8.116e-02, 7.604e+02, 7.542e+02, -6.165e+01, -7.474e+01, 1.586e+03, -2.872e+00, -2.068e+00, -7.233e+00, 5.655e-07, 6.628e+00, -1.955e+03, 1.453e+03, 2.082e+03
5.800e-01, -1.109e-01, -5.372e-02, 7.598e+02, 7.541e+02, -4.080e+01, -8.400e+01, 1.586e+03, 1.300e-01, -3.229e+00, -7.130e+00, 5.141e-07, 6.737e+00, -1.948e+03, 8.867e+02, 2.275e+03
5.900e-01, -9.943e-02, -3.681e-02, 7.593e+02, 7.550e+02, -2.794e+01, -7.532e+01, 1.585e+03, 9.954e-01, -4.006e-01, -7.196e+00, 5.009e-07, 6.667e+00, -1.930e+03, 5.670e+02, 2.014e+03
6.000e-01, -1.023e-01, -3.790e-02, 7.587e+02, 7.542e+02, -2.875e+01, -7.739e+01, 1.585e+03, -1.728e+00, -2.204e-01, -7.174e+00, 5.076e-07, 6.691e+00, -1.929e+03, 5.831e+02, 2.068e+03
6.100e-01, -1.206e-01, -2.233e-02, 7.581e+02, 7.524e+02, -1.693e+01, -9.116e+01, 1.585e+03, -1.238e+00, -3.130e+00, -7.041e+00, 4.510e-07, 6.831e+00, -1.935e+03, 2.480e+02, 2.402e+03
6.200e-01, -1.172e-01, 4.209e-03, 7.575e+02, 7.523e+02, 3.189e+00, -8.860e+01, 1.585e+03, 1.555e+00, -2.537e+00, -7.057e+00, 4.418e-07, 6.814e+00, -1.927e+03, -2.685e+02, 2.288e+03
6.300e-01, -1.003e-01, 1.352e-02, 7.570e+02, 7.531e+02, 1.024e+01, -7.578e+01, 1.585e+03, 7.947e-01, 1.519e-01, -7.168e+00, 4.129e-07, 6.698e+00, -1.911e+03, -4.230e+02, 1.934e+03
6.400e-01, -1.043e-01, 1.466e-02, 7.564e+02, 7.522e+02, 1.108e+01, -7.876e+01, 1.584e+03, -1.328e+00, -1.123e+00, -7.137e+00, 4.139e-07, 6.731e+00, -1.910e+03, -4.508e+02, 2.008e+03
6.500e-01, -1.119e-01, 3.479e-02, 7.559e+02, 7.507e+02, 2.629e+01, -8.436e+01, 1.584e+03, 3.773e-01, -3.132e+00, -7.086e+00, 3.614e-07, 6.785e+00, -1.915e+03, -8.549e+02, 2.121e+03
6.600e-01, -9.480e-02, 5.689e-02, 7.552e+02, 7.506e+02, 4.295e+01, -7.138e+01, 1.584e+03, 2.386e+00, -1.100e+00, -7.205e+00, 3.845e-07, 6.657e+00, -1.905e+03, -1.254e+03, 1.747e+03
6.700e-01, -7.855e-02, 5.691e-02, 7.547e+02, 7.512e+02, 4.293e+01, -5.913e+01, 1.584e+03, 4.882e-01, 4.169e-01, -7.310e+00, 3.705e-07, 6.543e+00, -1.892e+03, -1.225e+03, 1.427e+03
6.800e-01, -8.204e-02, 6.138e-02, 7.541e+02, 7.502e+02, 4.626e+01, -6.168e+01, 1.583e+03, -4.463e-01, -1.767e+00, -7.286e+00, 3.677e-07, 6.569e+00, -1.892e+03, -1.315e+03, 1.485e+03
6.900e-01, -7.628e-02, 8.271e-02, 7.536e+02, 7.488e+02, 6.226e+01, -5.723e+01, 1.583e+03, 2.046e+00, -2.204e+00, -7.334e+00, 3.557e-07, 6.515e+00, -1.895e+03, -1.716e+03, 1.337e+03
7.000e-01, -5.132e-02, 9.101e-02, 7.530e+02, 7.489e+02, 6.843e+01, -3.847e+01, 1.583e+03, 2.292e+00, 3.582e-01, -7.498e+00, 3.438e-07, 6.326e+00, -1.885e+03, -1.830e+03, 8.410e+02
7.100e-01, -3.924e-02, 8.433e-02, 7.525e+02, 7.492e+02, 6.338e+01, -2.941e+01, 1.583e+03, 1.355e-01, 4.320e-01, -7.568e+00, 3.601e-07, 6.242e+00, -1.874e+03, -1.678e+03, 6.180e+02
7.200e-01, -3.968e-02, 9.092e-02, 7.519e+02, 7.482e+02, 6.827e+01, -2.970e+01, 1.582e+03, 6.163e-01, -1.713e+00, -7.569e+00, 3.481e-07, 6.241e+00, -1.874e+03, -1.802e+03, 6.148e+02
7.300e-01, -2.372e-02, 1.051e-01, 7.514e+02, 7.470e+02, 7.880e+01, -1.772e+01, 1.582e+03, 2.719e+00, -7.711e-01, -7.678e+00, 3.764e-07, 6.106e+00, -1.876e+03, -2.045e+03, 2.877e+02
7.400e-01, 1.364e-03, 1.002e-01, 7.508e+02, 7.471e+02, 7.513e+01, 1.019e+00, 1.582e+03, 1.700e+00, 1.353e+00, -7.825e+00, 3.720e-07, 5.917e+00, -1.867e+03, -1.908e+03, -1.822e+02
7.500e-01, 8.747e-03, 8.884e-02, 7.503e+02, 7.473e+02, 6.657e+01, 6.537e+00, 1.582e+03, -7.835e-02, 1.018e-01, -7.860e+00, 3.851e-07, 5.870e+00, -1.856e+03, -1.674e+03, -3.041e+02
7.600e-01, 1.239e-02, 9.488e-02, 7.498e+02, 7.463e+02, 7.103e+01, 9.244e+00, 1.582e+03, 1.391e+00, -1.056e+00, -7.886e+00, 3.659e-07, 5.835e+00, -1.857e+03, -1.781e+03, -3.818e+02
7.700e-01, 3.560e-02, 9.700e-02, 7.492e+02, 7.452e+02, 7.256e+01, 2.654e+01, 1.581e+03, 2.490e+00, 9.400e-01, -8.022e+00, 3.815e-07, 5.647e+00, -1.858e+03, -1.783e+03, -8.230e+02
7.800e-01, 5.326e-02, 7.844e-02, 7.486e+02, 7.453e+02, 5.866e+01, 3.973e+01, 1.581e+03, 4.202e-01, 1.812e+00, -8.110e+00, 3.854e-07, 5.520e+00, -1.848e+03, -1.400e+03, -1.126e+03
7.900e-01, 5.302e-02, 6.806e-02, 7.481e+02, 7.453e+02, 5.087e+01, 3.956e+01, 1.581e+03, -5.283e-03, -2.645e-02, -8.104e+00, 3.933e-07, 5.528e+00, -1.840e+03, -1.201e+03, -1.103e+03
8.000e-01, 6.167e-02, 7.046e-02, 7.476e+02, 7.443e+02, 5.263e+01, 4.596e+01, 1.581e+03, 1.824e+00, 1.079e-01, -8.155e+00, 4.035e-07, 5.453e+00, -1.840e+03, -1.231e+03, -1.267e+03
8.100e-01, 8.180e-02, 5.594e-02, 7.470e+02, 7.433e+02, 4.177e+01, 6.094e+01, 1.580e+03, 1.208e+00, 2.179e+00, -8.258e+00, 3.895e-07, 5.295e+00, -1.840e+03, -9.259e+02, -1.621e+03
8.200e-01, 8.453e-02, 3.395e-02, 7.465e+02, 7.434e+02, 2.534e+01, 6.299e+01, 1.580e+03, -6.218e-01, 1.596e+00, -8.268e+00, 4.363e-07, 5.280e+00, -1.832e+03, -5.066e+02, -1.636e+03
8.300e-01, 7.931e-02, 2.638e-02, 7.459e+02, 7.433e+02, 1.968e+01, 5.908e+01, 1.580e+03, 2.014e-01, -1.504e-02, -8.241e+00, 4.479e-07, 5.323e+00, -1.823e+03, -3.714e+02, -1.522e+03
8.400e-01, 8.815e-02, 2.201e-02, 7.454e+02, 7.424e+02, 1.641e+01, 6.561e+01, 1.580e+03, 1.342e+00, 1.185e+00, -8.288e+00, 4.679e-07, 5.248e+00, -1.824e+03, -2.757e+02, -1.678e+03
8.500e-01, 9.544e-02, 6.321e-04, 7.449e+02, 7.415e+02, 4.709e-01, 7.099e+01, 1.579e+03, -1.403e-01, 2.347e+00, -8.327e+00, 4.776e-07, 5.187e+00, -1.823e+03, 1.347e+02, -1.779e+03
8.600e-01, 8.433e-02, -1.975e-02, 7.444e+02, 7.416e+02, -1.470e+01, 6.269e+01, 1.579e+03, -1.261e+00, 7.058e-01, -8.272e+00, 5.115e-07, 5.273e+00, -1.814e+03, 4.965e+02, -1.536e+03
8.700e-01, 7.804e-02, -2.170e-02, 7.439e+02, 7.414e+02, -1.614e+01, 5.798e+01, 1.579e+03, 1.635e-01, 1.386e-01, -8.241e+00, 5.140e-07, 5.322e+00, -1.808e+03, 5.220e+02, -1.413e+03
8.800e-01, 8.248e-02, -3.310e-02, 7.433e+02, 7.404e+02, -2.460e+01, 6.121e+01, 1.579e+03, 1.979e-01, 1.825e+00, -8.268e+00, 5.169e-07, 5.279e+00, -1.808e+03, 7.394e+02, -1.475e+03
8.900e-01, 7.421e-02, -5.353e-02, 7.428e+02, 7.397e+02, -3.974e+01, 5.499e+01, 1.579e+03, -1.550e+00, 1.539e+00, -8.232e+00, 5.647e-07, 5.335e+00, -1.806e+03, 1.103e+03, -1.288e+03
9.000e-01, 5.689e-02, -6.013e-02, 7.423e+02, 7.397e+02, -4.461e+01, 4.213e+01, 1.578e+03, -1.224e+00, -1.498e-01, -8.143e+00, 5.691e-07, 5.471e+00, -1.798e+03, 1.195e+03, -9.551e+02
9.100e-01, 5.223e-02, -5.874e-02, 7.418e+02, 7.395e+02, -4.355e+01, 3.866e+01, 1.578e+03, 7.248e-02, 3.148e-01, -8.118e+00, 5.748e-07, 5.508e+00, -1.792e+03, 1.160e+03, -8.696e+02
9.200e-01, 4.947e-02, -7.011e-02, 7.413e+02, 7.385e+02, -5.193e+01, 3.656e+01, 1.578e+03, -8.164e-01, 1.541e+00, -8.109e+00, 5.806e-07, 5.521e+00, -1.793e+03, 1.363e+03, -8.001e+02
9.300e-01, 3.208e-02, -8.168e-02, 7.407e+02, 7.379e+02, -6.043e+01, 2.368e+01, 1.578e+03, -2.006e+00, 3.315e-01, -8.019e+00, 6.189e-07, 5.651e+00, -1.790e+03, 1.546e+03, -4.625e+02
9.400e-01, 1.669e-02, -7.733e-02, 7.402e+02, 7.379e+02, -5.718e+01, 1.231e+01, 1.577e+03, -7.902e-01, -6.745e-01, -7.929e+00, 6.172e-07, 5.777e+00, -1.782e+03, 1.438e+03, -1.871e+02
9.500e-01, 1.402e-02, -7.507e-02, 7.397e+02, 7.376e+02, -5.548e+01, 1.034e+01, 1.577e+03, -1.819e-01, 4.664e-01, -7.912e+00, 6.104e-07, 5.800e+00, -1.777e+03, 1.390e+03, -1.416e+02
9.600e-01, 4.479e-03, -8.337e-02, 7.392e+02, 7.366e+02, -6.155e+01, 3.299e+00, 1.577e+03, -1.603e+00, 7.155e-01, -7.861e+00, 6.241e-07, 5.869e+00, -1.777e+03, 1.525e+03, 4.465e+01
9.700e-01, -1.342e-02, -8.278e-02, 7.387e+02, 7.361e+02, -6.108e+01, -9.882e+00, 1.577e+03, -1.702e+00, -7.843e-01, -7.754e+00, 6.176e-07, 6.010e+00, -1.774e+03, 1.484e+03, 3.684e+02
9.800e-01, -2.203e-02, -7.266e-02, 7.382e+02, 7.361e+02, -5.359e+01, -1.622e+01, 1.577e+03, -3.209e-01, -8.650e-01, -7.694e+00, 6.112e-07, 6.085e+00, -1.767e+03, 1.284e+03, 5.082e+02
9.900e-01, -2.360e-02, -7.015e-02, 7.377e+02, 7.357e+02, -5.170e+01, -1.736e+01, 1.576e+03, -4.810e-01, 3.466e-01, -7.682e+00, 6.030e-07, 6.101e+00, -1.762e+03, 1.234e+03, 5.319e+02
