 # Time,     Mach,      alfa,      beta,     Clp,     Cm_alfa,     Cm_p_alfa,     Cm_q,     Cn_beta,     Cn_r 
1.000e-02, 2.349e+00, 2.203e-01, 1.534e-03, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
2.000e-02, 2.346e+00, 2.183e-01, -1.201e-01, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
3.000e-02, 2.344e+00, 1.301e-01, -1.646e-01, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
4.000e-02, 2.342e+00, 1.178e-01, -1.220e-01, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
5.000e-02, 2.340e+00, 1.353e-01, -1.617e-01, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
6.000e-02, 2.337e+00, 5.572e-02, -2.296e-01, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
7.000e-02, 2.335e+00, -3.931e-03, -1.972e-01, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
8.000e-02, 2.333e+00, 1.173e-02, -1.636e-01, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
9.000e-02, 2.331e+00, -4.044e-03, -2.038e-01, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
1.000e-01, 2.328e+00, -8.190e-02, -2.093e-01, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
1.100e-01, 2.326e+00, -1.052e-01, -1.583e-01, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
1.200e-01, 2.324e+00, -7.949e-02, -1.374e-01, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
1.300e-01, 2.322e+00, -1.097e-01, -1.616e-01, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
1.400e-01, 2.320e+00, -1.665e-01, -1.345e-01, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
1.500e-01, 2.318e+00, -1.607e-01, -8.041e-02, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
1.600e-01, 2.316e+00, -1.339e-01, -7.444e-02, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
1.700e-01, 2.314e+00, -1.669e-01, -8.212e-02, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
1.800e-01, 2.312e+00, -1.998e-01, -3.707e-02, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
1.900e-01, 2.310e+00, -1.706e-01, 6.831e-03, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
2.000e-01, 2.308e+00, -1.479e-01, 1.437e-03, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
2.100e-01, 2.306e+00, -1.797e-01, 1.122e-02, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
2.200e-01, 2.304e+00, -1.822e-01, 6.241e-02, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
2.300e-01, 2.302e+00, -1.358e-01, 8.442e-02, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
2.400e-01, 2.300e+00, -1.234e-01, 7.200e-02, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
2.500e-01, 2.298e+00, -1.453e-01, 9.651e-02, -1.050e-02, 3.013e+00, 3.880e-01, -1.510e+01, 0.000e+00, 0.000e+00
