# Time,      alpha,       beta,      p,       q,      r,    MX,     MY,     MZ 
1.000e-02, 2.203e-01, 1.534e-03, 7.798e+02, 1.226e+00, 1.746e+02, -3.725e+00, 7.333e+02, 6.922e+00
2.000e-02, 2.183e-01, -1.201e-01, 7.737e+02, -9.562e+01, 1.717e+02, -3.718e+00, 7.397e+02, 4.122e+02
3.000e-02, 1.301e-01, -1.646e-01, 7.800e+02, -1.307e+02, 1.020e+02, -3.711e+00, 4.389e+02, 5.864e+02
4.000e-02, 1.178e-01, -1.220e-01, 7.852e+02, -9.691e+01, 9.296e+01, -3.705e+00, 3.730e+02, 4.367e+02
5.000e-02, 1.353e-01, -1.617e-01, 7.783e+02, -1.281e+02, 1.060e+02, -3.698e+00, 4.333e+02, 5.427e+02
6.000e-02, 5.572e-02, -2.296e-01, 7.729e+02, -1.809e+02, 4.311e+01, -3.691e+00, 1.838e+02, 7.766e+02
7.000e-02, -3.931e-03, -1.972e-01, 7.787e+02, -1.556e+02, -3.061e+00, -3.685e+00, -2.937e+01, 6.820e+02
8.000e-02, 1.173e-02, -1.636e-01, 7.827e+02, -1.293e+02, 9.180e+00, -3.678e+00, 8.185e+00, 5.502e+02
9.000e-02, -4.044e-03, -2.038e-01, 7.762e+02, -1.604e+02, -3.139e+00, -3.672e+00, -2.385e+01, 6.667e+02
1.000e-01, -8.190e-02, -2.093e-01, 7.719e+02, -1.645e+02, -6.336e+01, -3.665e+00, -2.722e+02, 7.011e+02
1.100e-01, -1.052e-01, -1.583e-01, 7.768e+02, -1.247e+02, -8.205e+01, -3.659e+00, -3.697e+02, 5.346e+02
1.200e-01, -7.949e-02, -1.374e-01, 7.804e+02, -1.082e+02, -6.216e+01, -3.653e+00, -2.869e+02, 4.417e+02
1.300e-01, -1.097e-01, -1.616e-01, 7.746e+02, -1.271e+02, -8.529e+01, -3.646e+00, -3.614e+02, 5.195e+02
1.400e-01, -1.665e-01, -1.345e-01, 7.708e+02, -1.058e+02, -1.296e+02, -3.640e+00, -5.509e+02, 4.464e+02
1.500e-01, -1.607e-01, -8.041e-02, 7.753e+02, -6.329e+01, -1.257e+02, -3.634e+00, -5.501e+02, 2.598e+02
1.600e-01, -1.339e-01, -7.444e-02, 7.781e+02, -5.855e+01, -1.048e+02, -3.628e+00, -4.520e+02, 2.216e+02
1.700e-01, -1.669e-01, -8.212e-02, 7.730e+02, -6.452e+01, -1.302e+02, -3.622e+00, -5.403e+02, 2.558e+02
1.800e-01, -1.998e-01, -3.707e-02, 7.696e+02, -2.912e+01, -1.559e+02, -3.616e+00, -6.574e+02, 1.197e+02
1.900e-01, -1.706e-01, 6.831e-03, 7.736e+02, 5.363e+00, -1.333e+02, -3.609e+00, -5.713e+02, -3.827e+01
2.000e-01, -1.479e-01, 1.437e-03, 7.758e+02, 1.127e+00, -1.156e+02, -3.604e+00, -4.799e+02, -2.965e+01
2.100e-01, -1.797e-01, 1.122e-02, 7.709e+02, 8.795e+00, -1.400e+02, -3.597e+00, -5.728e+02, -4.526e+01
2.200e-01, -1.822e-01, 6.241e-02, 7.684e+02, 4.883e+01, -1.416e+02, -3.591e+00, -5.929e+02, -2.084e+02
2.300e-01, -1.358e-01, 8.442e-02, 7.722e+02, 6.595e+01, -1.055e+02, -3.585e+00, -4.409e+02, -2.948e+02
2.400e-01, -1.234e-01, 7.200e-02, 7.735e+02, 5.622e+01, -9.596e+01, -3.580e+00, -3.842e+02, -2.520e+02
2.500e-01, -1.453e-01, 9.651e-02, 7.689e+02, 7.523e+01, -1.125e+02, -3.573e+00, -4.545e+02, -3.136e+02
2.600e-01, -1.203e-01, 1.377e-01, 7.671e+02, 1.071e+02, -9.272e+01, -3.567e+00, -3.841e+02, -4.499e+02
2.700e-01, -7.118e-02, 1.353e-01, 7.703e+02, 1.051e+02, -5.492e+01, -3.562e+00, -2.186e+02, -4.521e+02
2.800e-01, -6.733e-02, 1.209e-01, 7.713e+02, 9.392e+01, -5.201e+01, -3.556e+00, -1.941e+02, -3.948e+02
2.900e-01, -7.320e-02, 1.489e-01, 7.674e+02, 1.154e+02, -5.627e+01, -3.550e+00, -2.207e+02, -4.717e+02
3.000e-01, -3.081e-02, 1.717e-01, 7.656e+02, 1.328e+02, -2.360e+01, -3.545e+00, -9.360e+01, -5.520e+02
3.100e-01, 1.384e-02, 1.450e-01, 7.684e+02, 1.122e+02, 1.064e+01, -3.539e+00, 5.996e+01, -4.703e+02
3.200e-01, 9.016e-03, 1.342e-01, 7.690e+02, 1.038e+02, 6.933e+00, -3.533e+00, 4.769e+01, -4.201e+02
3.300e-01, 2.468e-02, 1.594e-01, 7.653e+02, 1.230e+02, 1.889e+01, -3.527e+00, 8.344e+01, -4.963e+02
3.400e-01, 7.271e-02, 1.496e-01, 7.640e+02, 1.155e+02, 5.565e+01, -3.522e+00, 2.340e+02, -4.746e+02
3.500e-01, 9.368e-02, 1.026e-01, 7.666e+02, 7.928e+01, 7.202e+01, -3.516e+00, 3.118e+02, -3.207e+02
3.600e-01, 8.441e-02, 9.879e-02, 7.669e+02, 7.628e+01, 6.489e+01, -3.511e+00, 2.762e+02, -2.962e+02
3.700e-01, 1.128e-01, 1.058e-01, 7.635e+02, 8.158e+01, 8.646e+01, -3.505e+00, 3.526e+02, -3.229e+02
3.800e-01, 1.465e-01, 5.834e-02, 7.625e+02, 4.502e+01, 1.125e+02, -3.499e+00, 4.646e+02, -1.802e+02
3.900e-01, 1.317e-01, 1.757e-02, 7.646e+02, 1.355e+01, 1.013e+02, -3.494e+00, 4.217e+02, -4.143e+01
4.000e-01, 1.252e-01, 2.198e-02, 7.646e+02, 1.694e+01, 9.620e+01, -3.489e+00, 3.883e+02, -5.147e+01
4.100e-01, 1.480e-01, 3.948e-03, 7.618e+02, 3.041e+00, 1.136e+02, -3.483e+00, 4.547e+02, -5.079e+00
4.200e-01, 1.418e-01, -5.214e-02, 7.608e+02, -4.011e+01, 1.086e+02, -3.478e+00, 4.420e+02, 1.691e+02
4.300e-01, 1.082e-01, -6.822e-02, 7.626e+02, -5.242e+01, 8.284e+01, -3.472e+00, 3.334e+02, 2.279e+02
4.400e-01, 1.067e-01, -6.190e-02, 7.625e+02, -4.753e+01, 8.165e+01, -3.467e+00, 3.175e+02, 2.028e+02
4.500e-01, 1.093e-01, -9.217e-02, 7.599e+02, -7.066e+01, 8.337e+01, -3.462e+00, 3.279e+02, 2.866e+02
4.600e-01, 7.111e-02, -1.246e-01, 7.592e+02, -9.529e+01, 5.407e+01, -3.456e+00, 2.150e+02, 3.909e+02
4.700e-01, 4.406e-02, -1.132e-01, 7.608e+02, -8.654e+01, 3.354e+01, -3.451e+00, 1.236e+02, 3.587e+02
4.800e-01, 4.651e-02, -1.098e-01, 7.604e+02, -8.389e+01, 3.539e+01, -3.446e+00, 1.268e+02, 3.382e+02
4.900e-01, 2.796e-02, -1.357e-01, 7.579e+02, -1.035e+02, 2.120e+01, -3.440e+00, 7.836e+01, 4.125e+02
5.000e-01, -1.140e-02, -1.358e-01, 7.575e+02, -1.035e+02, -8.636e+00, -3.435e+00, -4.129e+01, 4.189e+02
5.100e-01, -2.270e-02, -1.133e-01, 7.589e+02, -8.634e+01, -1.723e+01, -3.429e+00, -8.381e+01, 3.471e+02
5.200e-01, -2.106e-02, -1.145e-01, 7.582e+02, -8.722e+01, -1.597e+01, -3.424e+00, -7.578e+01, 3.410e+02
5.300e-01, -4.657e-02, -1.245e-01, 7.561e+02, -9.474e+01, -3.524e+01, -3.419e+00, -1.448e+02, 3.725e+02
5.400e-01, -7.510e-02, -1.059e-01, 7.558e+02, -8.060e+01, -5.687e+01, -3.414e+00, -2.346e+02, 3.212e+02
5.500e-01, -7.284e-02, -8.312e-02, 7.569e+02, -6.323e+01, -5.523e+01, -3.409e+00, -2.326e+02, 2.453e+02
5.600e-01, -7.370e-02, -8.534e-02, 7.562e+02, -6.487e+01, -5.583e+01, -3.404e+00, -2.278e+02, 2.461e+02
5.700e-01, -9.877e-02, -8.116e-02, 7.542e+02, -6.165e+01, -7.474e+01, -3.398e+00, -2.978e+02, 2.386e+02
5.800e-01, -1.109e-01, -5.372e-02, 7.541e+02, -4.080e+01, -8.400e+01, -3.393e+00, -3.399e+02, 1.577e+02
5.900e-01, -9.943e-02, -3.681e-02, 7.550e+02, -2.794e+01, -7.532e+01, -3.388e+00, -3.057e+02, 9.936e+01
6.000e-01, -1.023e-01, -3.790e-02, 7.542e+02, -2.875e+01, -7.739e+01, -3.383e+00, -3.052e+02, 1.015e+02
6.100e-01, -1.206e-01, -2.233e-02, 7.524e+02, -1.693e+01, -9.116e+01, -3.378e+00, -3.587e+02, 6.138e+01
6.200e-01, -1.172e-01, 4.209e-03, 7.523e+02, 3.189e+00, -8.860e+01, -3.373e+00, -3.534e+02, -1.938e+01
6.300e-01, -1.003e-01, 1.352e-02, 7.531e+02, 1.024e+01, -7.578e+01, -3.368e+00, -2.989e+02, -5.320e+01
6.400e-01, -1.043e-01, 1.466e-02, 7.522e+02, 1.108e+01, -7.876e+01, -3.363e+00, -3.036e+02, -5.308e+01
6.500e-01, -1.119e-01, 3.479e-02, 7.507e+02, 2.629e+01, -8.436e+01, -3.358e+00, -3.279e+02, -1.075e+02
6.600e-01, -9.480e-02, 5.689e-02, 7.506e+02, 4.295e+01, -7.138e+01, -3.353e+00, -2.800e+02, -1.767e+02
6.700e-01, -7.855e-02, 5.691e-02, 7.512e+02, 4.293e+01, -5.913e+01, -3.348e+00, -2.259e+02, -1.790e+02
6.800e-01, -8.204e-02, 6.138e-02, 7.502e+02, 4.626e+01, -6.168e+01, -3.343e+00, -2.322e+02, -1.856e+02
6.900e-01, -7.628e-02, 8.271e-02, 7.488e+02, 6.226e+01, -5.723e+01, -3.338e+00, -2.194e+02, -2.457e+02
7.000e-01, -5.132e-02, 9.101e-02, 7.489e+02, 6.843e+01, -3.847e+01, -3.333e+00, -1.457e+02, -2.741e+02
7.100e-01, -3.924e-02, 8.433e-02, 7.492e+02, 6.338e+01, -2.941e+01, -3.328e+00, -1.046e+02, -2.529e+02
7.200e-01, -3.968e-02, 9.092e-02, 7.482e+02, 6.827e+01, -2.970e+01, -3.323e+00, -1.062e+02, -2.651e+02
7.300e-01, -2.372e-02, 1.051e-01, 7.470e+02, 7.880e+01, -1.772e+01, -3.319e+00, -6.416e+01, -3.065e+02
