# Time,     alpha,      beta,     p,      q,      r,    MX,     MY,     MZ 
1.000e+01, -1.522e-03, 1.501e-03, 1.481e+03, -1.021e-02, 1.329e-03, -1.236e+00, 2.543e-01, 2.620e+00
1.009e+01, -1.522e-03, 1.544e-03, 1.481e+03, -1.027e-02, 1.334e-03, -1.227e+00, 2.523e-01, 2.620e+00
1.017e+01, -1.522e-03, 1.587e-03, 1.480e+03, -1.032e-02, 1.338e-03, -1.218e+00, 2.503e-01, 2.620e+00
1.026e+01, -1.522e-03, 1.631e-03, 1.479e+03, -1.038e-02, 1.342e-03, -1.209e+00, 2.483e-01, 2.620e+00
1.035e+01, -1.522e-03, 1.674e-03, 1.479e+03, -1.044e-02, 1.345e-03, -1.199e+00, 2.464e-01, 2.620e+00
1.044e+01, -1.522e-03, 1.717e-03, 1.478e+03, -1.050e-02, 1.349e-03, -1.190e+00, 2.444e-01, 2.620e+00
1.052e+01, -1.522e-03, 1.761e-03, 1.477e+03, -1.055e-02, 1.352e-03, -1.181e+00, 2.424e-01, 2.620e+00
1.061e+01, -1.522e-03, 1.805e-03, 1.477e+03, -1.061e-02, 1.355e-03, -1.172e+00, 2.404e-01, 2.620e+00
1.070e+01, -1.522e-03, 1.849e-03, 1.476e+03, -1.066e-02, 1.359e-03, -1.162e+00, 2.384e-01, 2.620e+00
1.078e+01, -1.522e-03, 1.892e-03, 1.475e+03, -1.072e-02, 1.362e-03, -1.153e+00, 2.364e-01, 2.620e+00
1.087e+01, -1.522e-03, 1.934e-03, 1.475e+03, -1.077e-02, 1.365e-03, -1.144e+00, 2.343e-01, 2.620e+00
1.096e+01, -1.522e-03, 1.973e-03, 1.474e+03, -1.083e-02, 1.369e-03, -1.134e+00, 2.321e-01, 2.620e+00
1.105e+01, -1.522e-03, 2.008e-03, 1.473e+03, -1.088e-02, 1.372e-03, -1.125e+00, 2.300e-01, 2.620e+00
1.113e+01, -1.522e-03, 2.039e-03, 1.473e+03, -1.094e-02, 1.375e-03, -1.115e+00, 2.283e-01, 2.620e+00
1.122e+01, -1.522e-03, 2.069e-03, 1.472e+03, -1.100e-02, 1.378e-03, -1.104e+00, 2.275e-01, 2.620e+00
1.131e+01, -1.522e-03, 2.097e-03, 1.471e+03, -1.105e-02, 1.381e-03, -1.094e+00, 2.283e-01, 2.620e+00
1.139e+01, -1.522e-03, 2.126e-03, 1.471e+03, -1.111e-02, 1.384e-03, -1.084e+00, 2.307e-01, 2.620e+00
1.148e+01, -1.522e-03, 2.154e-03, 1.470e+03, -1.116e-02, 1.389e-03, -1.073e+00, 2.340e-01, 2.619e+00
1.157e+01, -1.522e-03, 2.183e-03, 1.470e+03, -1.122e-02, 1.397e-03, -1.063e+00, 2.379e-01, 2.619e+00
1.166e+01, -1.522e-03, 2.212e-03, 1.469e+03, -1.127e-02, 1.409e-03, -1.053e+00, 2.417e-01, 2.619e+00
1.174e+01, -1.522e-03, 2.241e-03, 1.468e+03, -1.133e-02, 1.423e-03, -1.044e+00, 2.455e-01, 2.621e+00
1.183e+01, -1.522e-03, 2.270e-03, 1.468e+03, -1.138e-02, 1.439e-03, -1.035e+00, 2.493e-01, 2.626e+00
1.192e+01, -1.522e-03, 2.299e-03, 1.467e+03, -1.144e-02, 1.455e-03, -1.028e+00, 2.530e-01, 2.634e+00
1.201e+01, -1.522e-03, 2.327e-03, 1.466e+03, -1.150e-02, 1.471e-03, -1.021e+00, 2.567e-01, 2.646e+00
1.209e+01, -1.522e-03, 2.355e-03, 1.466e+03, -1.156e-02, 1.487e-03, -1.013e+00, 2.604e-01, 2.659e+00
